Entity,Code,Year,15.1.2 - Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_TERR
Central and Southern Asia (UN),,2000,12.91
Central and Southern Asia (UN),,2005,15.02
Central and Southern Asia (UN),,2010,15.97
Central and Southern Asia (UN),,2015,18.7
Central and Southern Asia (UN),,2020,19.61
Central and Southern Asia (UN),,2022,19.61
Europe (UN),,2000,38.93
Europe (UN),,2005,51.39
Europe (UN),,2010,60.5
Europe (UN),,2015,64.89
Europe (UN),,2020,66.98
Europe (UN),,2022,66.99
Latin America and the Caribbean (UN),,2000,25.66
Latin America and the Caribbean (UN),,2005,31.27
Latin America and the Caribbean (UN),,2010,36.04
Latin America and the Caribbean (UN),,2015,38.66
Latin America and the Caribbean (UN),,2020,40.42
Latin America and the Caribbean (UN),,2022,40.62
Northern America (UN),,2000,27.78
Northern America (UN),,2005,29.65
Northern America (UN),,2010,36.5
Northern America (UN),,2015,37.5
Northern America (UN),,2020,38.95
Northern America (UN),,2022,38.95
Oceania (UN),,2000,21.79
Oceania (UN),,2005,24.36
Oceania (UN),,2010,30.12
Oceania (UN),,2015,32.98
Oceania (UN),,2020,35.36
Oceania (UN),,2022,35.37
Sub-Saharan Africa (UN),,2000,30.49
Sub-Saharan Africa (UN),,2005,34.2
Sub-Saharan Africa (UN),,2010,39.73
Sub-Saharan Africa (UN),,2015,40.8
Sub-Saharan Africa (UN),,2020,43.4
Sub-Saharan Africa (UN),,2022,43.42
World,OWID_WRL,2000,26.73
World,OWID_WRL,2005,33.12
World,OWID_WRL,2010,39.11
World,OWID_WRL,2015,42.15
World,OWID_WRL,2020,44.25
World,OWID_WRL,2022,44.3
