Entity,Code,Year,Corruption Perception Index - Transparency International (2018)
Bahrain,BHR,2012,51
Bahrain,BHR,2013,48
Bahrain,BHR,2014,49
Bahrain,BHR,2015,51
Bahrain,BHR,2016,43
Bahrain,BHR,2017,36
Bahrain,BHR,2018,36
Denmark,DNK,2012,90
Denmark,DNK,2013,91
Denmark,DNK,2014,92
Denmark,DNK,2015,91
Denmark,DNK,2016,90
Denmark,DNK,2017,88
Denmark,DNK,2018,88
Israel,ISR,2012,60
Israel,ISR,2013,61
Israel,ISR,2014,60
Israel,ISR,2015,61
Israel,ISR,2016,64
Israel,ISR,2017,62
Israel,ISR,2018,61
Myanmar,MMR,2012,15
Myanmar,MMR,2013,21
Myanmar,MMR,2014,21
Myanmar,MMR,2015,22
Myanmar,MMR,2016,28
Myanmar,MMR,2017,30
Myanmar,MMR,2018,29
Somalia,SOM,2012,8
Somalia,SOM,2013,8
Somalia,SOM,2014,8
Somalia,SOM,2015,8
Somalia,SOM,2016,10
Somalia,SOM,2017,9
Somalia,SOM,2018,10
