Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (age-standardized estimate) (%) - Sex: male - Age group: 18+  years"
Brazil,BRA,1975,3.0
Brazil,BRA,1980,4.1
Brazil,BRA,1985,5.4
Brazil,BRA,1990,7.0
Brazil,BRA,1995,8.9
Brazil,BRA,2000,11.0
Brazil,BRA,2005,13.2
Brazil,BRA,2010,15.5
Brazil,BRA,2016,18.5
China,CHN,1975,0.2
China,CHN,1980,0.3
China,CHN,1985,0.5
China,CHN,1990,0.8
China,CHN,1995,1.2
China,CHN,2000,1.8
China,CHN,2005,2.6
China,CHN,2010,3.9
China,CHN,2016,5.9
Cote d'Ivoire,CIV,1975,0.5
Cote d'Ivoire,CIV,1980,0.7
Cote d'Ivoire,CIV,1985,1.0
Cote d'Ivoire,CIV,1990,1.4
Cote d'Ivoire,CIV,1995,1.8
Cote d'Ivoire,CIV,2000,2.4
Cote d'Ivoire,CIV,2005,3.2
Cote d'Ivoire,CIV,2010,4.2
Cote d'Ivoire,CIV,2016,5.8
India,IND,1975,0.2
India,IND,1980,0.2
India,IND,1985,0.3
India,IND,1990,0.5
India,IND,1995,0.7
India,IND,2000,1.0
India,IND,2005,1.3
India,IND,2010,1.9
India,IND,2016,2.7
United Kingdom,GBR,1975,7.8
United Kingdom,GBR,1980,9.1
United Kingdom,GBR,1985,10.6
United Kingdom,GBR,1990,12.4
United Kingdom,GBR,1995,14.5
United Kingdom,GBR,2000,17.1
United Kingdom,GBR,2005,19.9
United Kingdom,GBR,2010,23.0
United Kingdom,GBR,2016,26.9
United States,USA,1975,10.3
United States,USA,1980,12.1
United States,USA,1985,14.3
United States,USA,1990,17.0
United States,USA,1995,20.3
United States,USA,2000,24.0
United States,USA,2005,27.7
United States,USA,2010,31.2
United States,USA,2016,35.5
