Entity,Code,Year,Low-carbon energy per capita (kWh - equivalent)
Australia,AUS,1965,2084.9104
Australia,AUS,1970,2453.9646
Australia,AUS,1980,2791.2869
Australia,AUS,1990,2702.2617
Australia,AUS,2000,2737.685
Australia,AUS,2010,2955.301
Australia,AUS,2022,9172.805
Canada,CAN,1965,17753.646
Canada,CAN,1970,21952.932
Canada,CAN,1980,34869.66
Canada,CAN,1990,39503.855
Canada,CAN,2000,42072.125
Canada,CAN,2010,37784.305
Canada,CAN,2022,36920.363
France,FRA,1965,2930.7795
France,FRA,1970,3724.7095
France,FRA,1980,7150.6016
France,FRA,1990,18729.727
France,FRA,2000,23652.807
France,FRA,2010,22223.871
France,FRA,2022,16680.135
Japan,JPN,1965,2262.1084
Japan,JPN,1970,2244.8435
Japan,JPN,1980,4238.3174
Japan,JPN,1990,6828.8706
Japan,JPN,2000,9517.571
Japan,JPN,2010,8717.799
Japan,JPN,2022,6048.8433
Sweden,SWE,1965,17705.99
Sweden,SWE,1970,15353.887
Sweden,SWE,1980,30262.385
Sweden,SWE,1990,48442.3
Sweden,SWE,2000,46155.004
Sweden,SWE,2010,42025.895
Sweden,SWE,2022,44171.992
United Kingdom,GBR,1965,1043.4053
United Kingdom,GBR,1970,1567.3333
United Kingdom,GBR,1980,2072.6587
United Kingdom,GBR,1990,3559.2063
United Kingdom,GBR,2000,4615.0713
United Kingdom,GBR,2010,4088.515
United Kingdom,GBR,2022,7588.7686
