Entity,Code,Year,"Number of new cases of tuberculosis per 100 people, in both sexes aged all ages"
African Region (WHO),,1990,2.7868617
African Region (WHO),,1995,2.6099482000000003
African Region (WHO),,2000,2.542776
African Region (WHO),,2005,2.4012044
African Region (WHO),,2010,2.2130002
African Region (WHO),,2015,2.0093925
African Region (WHO),,2019,1.8903908
Eastern Mediterranean Region (WHO),,1990,1.5672829999999998
Eastern Mediterranean Region (WHO),,1995,1.5333082
Eastern Mediterranean Region (WHO),,2000,1.4225945000000002
Eastern Mediterranean Region (WHO),,2005,1.3076898
Eastern Mediterranean Region (WHO),,2010,1.1275119
Eastern Mediterranean Region (WHO),,2015,1.07117526
Eastern Mediterranean Region (WHO),,2019,0.9727644
European Region (WHO),,1990,0.4463144
European Region (WHO),,1995,0.49464412
European Region (WHO),,2000,0.52087627
European Region (WHO),,2005,0.5291872
European Region (WHO),,2010,0.4416699
European Region (WHO),,2015,0.32113038
European Region (WHO),,2019,0.2995692
Region of the Americas (WHO),,1990,0.32731086
Region of the Americas (WHO),,1995,0.31207595
Region of the Americas (WHO),,2000,0.25158336
Region of the Americas (WHO),,2005,0.21916319
Region of the Americas (WHO),,2010,0.1977181
Region of the Americas (WHO),,2015,0.18727178
Region of the Americas (WHO),,2019,0.18526731
South-East Asia Region (WHO),,1990,3.3098936
South-East Asia Region (WHO),,1995,2.854858
South-East Asia Region (WHO),,2000,2.7814647999999997
South-East Asia Region (WHO),,2005,2.5205198
South-East Asia Region (WHO),,2010,2.2449388
South-East Asia Region (WHO),,2015,1.959256
South-East Asia Region (WHO),,2019,1.9258209
Western Pacific Region (WHO),,1990,1.1437789
Western Pacific Region (WHO),,1995,0.92358254
Western Pacific Region (WHO),,2000,0.8700827
Western Pacific Region (WHO),,2005,0.8421423
Western Pacific Region (WHO),,2010,0.7734578000000001
Western Pacific Region (WHO),,2015,0.7268027
Western Pacific Region (WHO),,2019,0.7022241499999999
