Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Population (historical estimates),Continent
Africa,,1950,,227549730.0,
Africa,,2021,,1393676724.0,
Africa (UN),,1950,6.5856,227549264.0,
Africa (UN),,2021,4.305,1393676416.0,
Asia,,1950,,1378554727.0,
Asia,,2021,,4693332132.0,
Asia (UN),,1950,5.7054,1379048320.0,
Asia (UN),,2021,1.9414,4694576128.0,
Azerbaijan,AZE,1950,5.0748,3158966.0,
Azerbaijan,AZE,2021,1.6638,10312992.0,
Bahamas,BHS,1950,4.67,81651.0,
Bahamas,BHS,2021,1.3889,407920.0,
Bangladesh,BGD,1950,6.2958,39728540.0,
Bangladesh,BGD,2021,1.981,169356240.0,
Benin,BEN,1950,5.7511,2264457.0,
Benin,BEN,2021,4.9731,12996901.0,
Brazil,BRA,1950,6.1216,53955360.0,
Brazil,BRA,2021,1.6406,214326224.0,
Canada,CAN,1950,3.454,13743068.0,
Canada,CAN,2021,1.4635,38155012.0,
Cuba,CUB,1950,4.0325,5926656.0,
Cuba,CUB,2021,1.4419,11256373.0,
Democratic Republic of Congo,COD,1950,5.9658,12295748.0,
Democratic Republic of Congo,COD,2021,6.1564,95894120.0,
Egypt,EGY,1950,6.9939,21150060.0,
Egypt,EGY,2021,2.9174,109262184.0,
Europe,,1950,,550216093.0,
Europe,,2021,,746417727.0,
Europe (UN),,1950,2.6966,549721728.0,
Europe (UN),,2021,1.4833,745173760.0,
Germany,DEU,1950,2.0895,70964104.0,
Germany,DEU,2021,1.53,83408560.0,
Guam,GUM,1950,5.2865,61008.0,
Guam,GUM,2021,2.569,170546.0,
High-income countries,,1950,3.0122,669397963.0,
High-income countries,,2021,1.5605,1219584303.0,
Italy,ITA,1950,2.5273,46391944.0,
Italy,ITA,2021,1.2825,59240336.0,
Japan,JPN,1950,3.66,84353056.0,
Japan,JPN,2021,1.2974,124612528.0,
Kazakhstan,KAZ,1950,4.4943,6655677.0,
Kazakhstan,KAZ,2021,3.0836,19196468.0,
Liberia,LBR,1950,6.0012,915910.0,
Liberia,LBR,2021,4.0885,5193422.0,
Low-income countries,,1950,6.5801,115124011.0,
Low-income countries,,2021,4.6183,698782037.0,
Mali,MLI,1950,6.9609,4694920.0,
Mali,MLI,2021,5.9564,21904990.0,
Marshall Islands,MHL,1950,7.7365,13085.0,
Marshall Islands,MHL,2021,2.7288,42074.0,
Montenegro,MNE,1950,4.2631,402266.0,
Montenegro,MNE,2021,1.6914,627856.0,
Myanmar,MMR,1950,5.9468,17731816.0,
Myanmar,MMR,2021,2.1514,53798088.0,
Niger,NER,1950,7.5593,2569201.0,
Niger,NER,2021,6.82,25252722.0,
Nigeria,NGA,1950,6.4191,37189376.0,
Nigeria,NGA,2021,5.2374,213401328.0,
North America,,1950,,217078493.0,
North America,,2021,,597123384.0,
Oceania,,1950,,12578030.0,
Oceania,,2021,,44492065.0,
Oman,OMN,1950,7.2503,457321.0,
Oman,OMN,2021,2.6233,4520474.0,
Pakistan,PAK,1950,6.8,37696264.0,
Pakistan,PAK,2021,3.4698,231402112.0,
Papua New Guinea,PNG,1950,5.7106,1542863.0,
Papua New Guinea,PNG,2021,3.2147,9949438.0,
Philippines,PHL,1950,7.4482,18469880.0,
Philippines,PHL,2021,2.7476,113880336.0,
San Marino,SMR,1950,3.2267,12987.0,
San Marino,SMR,2021,1.1297,33772.0,
South America,,1950,,113520774.0,
South America,,2021,,434254167.0,
Upper-middle-income countries,,1950,5.3188,918865980.0,
Upper-middle-income countries,,2021,1.522,2548718303.0,
Vatican,VAT,1950,0.9939,899.0,
Vatican,VAT,2021,1.0077,,
World,OWID_WRL,1950,4.8596,2499322112.0,
World,OWID_WRL,2021,2.3208,7909295104.0,
Yemen,YEM,1950,7.9156,4712813.0,
Yemen,YEM,2021,3.7948,32981644.0,
