Entity,Code,Year,Population register implemented
Dominican Republic,DOM,1750,0
Dominican Republic,DOM,1800,0
Dominican Republic,DOM,1850,0
Dominican Republic,DOM,1900,0
Dominican Republic,DOM,1950,0
Dominican Republic,DOM,2015,0
Honduras,HND,1850,0
Honduras,HND,1900,0
Honduras,HND,1950,0
Honduras,HND,2015,1
Morocco,MAR,1750,0
Morocco,MAR,1800,0
Morocco,MAR,1850,0
Morocco,MAR,1900,0
Morocco,MAR,1950,0
Morocco,MAR,2015,0
South Korea,KOR,1750,0
South Korea,KOR,1800,0
South Korea,KOR,1850,0
South Korea,KOR,1900,0
South Korea,KOR,1950,0
South Korea,KOR,2015,1
