Entity,Code,Year,Deaths - Road injuries - Sex: Both - Age: All Ages (Number)
Brazil,BRA,1990,44236
Brazil,BRA,1995,44116
Brazil,BRA,2000,42084
Brazil,BRA,2005,44263
Brazil,BRA,2010,48796
Brazil,BRA,2015,46729
Brazil,BRA,2019,44529
Nigeria,NGA,1990,11832
Nigeria,NGA,1995,13667
Nigeria,NGA,2000,15229
Nigeria,NGA,2005,16867
Nigeria,NGA,2010,17801
Nigeria,NGA,2015,19053
Nigeria,NGA,2019,18508
Sweden,SWE,1990,937
Sweden,SWE,1995,732
Sweden,SWE,2000,630
Sweden,SWE,2005,534
Sweden,SWE,2010,426
Sweden,SWE,2015,377
Sweden,SWE,2019,368
United Kingdom,GBR,1990,5826
United Kingdom,GBR,1995,4748
United Kingdom,GBR,2000,4234
United Kingdom,GBR,2005,3744
United Kingdom,GBR,2010,3016
United Kingdom,GBR,2015,2621
United Kingdom,GBR,2019,2696
United States,USA,1990,48970
United States,USA,1995,47551
United States,USA,2000,48207
United States,USA,2005,48654
United States,USA,2010,40874
United States,USA,2015,41198
United States,USA,2019,41362
World,OWID_WRL,1990,1113411
World,OWID_WRL,1995,1163463
World,OWID_WRL,2000,1213031
World,OWID_WRL,2005,1269937
World,OWID_WRL,2010,1279539
World,OWID_WRL,2015,1202132
World,OWID_WRL,2019,1198289
