Entity,Code,Year,"GDP per capita (output, multiple price benchmarks)"
Algeria,DZA,1960,10835.013
Algeria,DZA,1970,7780.051
Algeria,DZA,1980,12254.745
Algeria,DZA,1990,9721.904
Algeria,DZA,2000,9704.585
Algeria,DZA,2010,14808.767
Algeria,DZA,2019,11787.492
Equatorial Guinea,GNQ,1960,1175.7365
Equatorial Guinea,GNQ,1970,1913.5905
Equatorial Guinea,GNQ,1980,2976.1514
Equatorial Guinea,GNQ,1990,2488.5537
Equatorial Guinea,GNQ,2000,10087.055
Equatorial Guinea,GNQ,2010,38225.527
Equatorial Guinea,GNQ,2019,24712.76
Gabon,GAB,1960,3861.6458
Gabon,GAB,1970,8101.0806
Gabon,GAB,1980,14617.956
Gabon,GAB,1990,11923.6875
Gabon,GAB,2000,11433.374
Gabon,GAB,2010,13814.3545
Gabon,GAB,2019,15492.227
Luxembourg,LUX,1950,14919.361
Luxembourg,LUX,1960,18467.475
Luxembourg,LUX,1970,23633.424
Luxembourg,LUX,1980,28116.154
Luxembourg,LUX,1990,38945.746
Luxembourg,LUX,2000,66585.98
Luxembourg,LUX,2010,67784.19
Luxembourg,LUX,2019,90479.41
Mauritania,MRT,1960,2018.1348
Mauritania,MRT,1970,4019.988
Mauritania,MRT,1980,3907.9526
Mauritania,MRT,1990,3229.0403
Mauritania,MRT,2000,3186.7036
Mauritania,MRT,2010,4468.001
Mauritania,MRT,2019,4676.1816
Myanmar,MMR,1970,760.68317
Myanmar,MMR,1980,856.58966
Myanmar,MMR,1990,762.569
Myanmar,MMR,2000,1123.4163
Myanmar,MMR,2010,3679.6335
Myanmar,MMR,2019,5153.375
Pakistan,PAK,1950,1381.4801
Pakistan,PAK,1960,1308.8778
Pakistan,PAK,1970,1972.8506
Pakistan,PAK,1980,2266.4963
Pakistan,PAK,1990,2764.075
Pakistan,PAK,2000,2879.3796
Pakistan,PAK,2010,4204.3774
Pakistan,PAK,2019,5026.2085
Ukraine,UKR,1990,11947.13
Ukraine,UKR,2000,4870.4756
Ukraine,UKR,2010,9614.152
Ukraine,UKR,2019,13144.867
