Entity,Code,Year,Gini coefficient,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Albania,ALB,2019,0.30115768,13655.665,2873883.0,
Angola,AGO,2019,,6602.424,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,,5467.208,165516224.0,
Belarus,BLR,2019,0.25277847,19279.209,9673971.0,
Belgium,BEL,2019,0.27219802,51977.184,11510569.0,
Bolivia,BOL,2019,0.41644758,8528.749,11777318.0,
Brazil,BRA,2019,0.5348577,14685.128,211782880.0,
Bulgaria,BGR,2019,0.40271384,23270.225,7052536.0,
Cameroon,CMR,2019,,3756.5095,25782342.0,
Central African Republic,CAF,2019,,861.7668,5209329.0,
Chile,CHL,2019,,24816.611,19039484.0,
China,CHN,2019,0.38168344,15977.764,1421864064.0,
Colombia,COL,2019,0.5133497,14616.135,50187404.0,
Czechia,CZE,2019,0.25262198,40989.727,10536876.0,
Djibouti,DJI,2019,,4768.113,1073999.0,
East Timor,TLS,2019,,3737.7964,1280442.0,
Ecuador,ECU,2019,0.45711532,11390.217,17343742.0,
Egypt,EGY,2019,0.31893557,11180.697,105618672.0,
Eswatini,SWZ,2019,,8501.267,1169620.0,
Ethiopia,ETH,2019,,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Gambia,GMB,2019,,2083.309,2508882.0,
Germany,DEU,2019,0.31719428,53874.316,83148144.0,
Ghana,GHA,2019,,5345.9414,31522294.0,
Greece,GRC,2019,0.33104455,29721.586,10574026.0,
Guatemala,GTM,2019,,8671.703,17106338.0,
Guinea,GIN,2019,,2545.1401,12877537.0,
Honduras,HND,2019,0.48168167,5613.6606,9958832.0,
India,IND,2019,0.3502112,6608.624,1383112064.0,
Ireland,IRL,2019,0.308315,86681.27,4896021.0,
Israel,ISR,2019,,40810.055,8607922.0,
Italy,ITA,2019,0.34587252,42739.05,59727936.0,
Kazakhstan,KAZ,2019,,26351.805,18754260.0,
Kiribati,KIR,2019,0.27832702,1990.518,124252.0,
Kosovo,OWID_KOS,2019,,11318.462,1686856.0,
Lesotho,LSO,2019,,2533.1191,2225710.0,
Luxembourg,LUX,2019,0.34241262,114542.5,619981.0,
Malawi,MWI,2019,0.38543174,1517.7031,18867340.0,
Mexico,MEX,2019,,20064.5,125085312.0,
Mozambique,MOZ,2019,0.5045398,1285.1848,30285602.0,
Namibia,NAM,2019,,10009.578,2446648.0,
Netherlands,NLD,2019,0.29248333,56784.04,17363260.0,
Nicaragua,NIC,2019,,5348.9873,6663919.0,
Niger,NER,2019,,1217.446,23443400.0,
Nigeria,NGA,2019,,5076.368,203304496.0,
North America,,2019,,,590497015.0,
North Macedonia,MKD,2019,0.33505884,16776.076,2114175.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,,5157.5464,223293280.0,
Palestine,PSE,2019,,6245.4487,4909775.0,
Panama,PAN,2019,0.49838337,31543.605,4232538.0,
Peru,PER,2019,0.41562784,12735.168,32824864.0,
Philippines,PHL,2019,,8731.861,110380800.0,
Poland,POL,2019,0.30239472,33159.75,38493600.0,
Romania,ROU,2019,0.348042,30006.336,19524212.0,
Russia,RUS,2019,0.37691438,27254.574,145742288.0,
Senegal,SEN,2019,,3430.484,16000783.0,
Serbia,SRB,2019,0.28953245,18310.08,7401056.0,
Slovakia,SVK,2019,0.23232324,31973.46,5453932.0,
South Africa,ZAF,2019,,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,0.37663776,13639.021,21649664.0,
Tajikistan,TJK,2019,,3575.2798,9337008.0,
Tanzania,TZA,2019,,2577.6658,59872584.0,
Thailand,THA,2019,0.34855723,18003.672,71307768.0,
Turkey,TUR,2019,0.41909108,28150.059,83481688.0,
Uganda,UGA,2019,0.42705452,2250.015,42949076.0,
Ukraine,UKR,2019,0.26619467,12804.955,44211100.0,
United States,USA,2019,0.41535568,62478.254,334319680.0,
Vanuatu,VUT,2019,0.32317576,3070.3508,304414.0,
Vietnam,VNM,2019,,10252.005,95776712.0,
Zambia,ZMB,2019,,3372.359,18380478.0,
Zimbabwe,ZWE,2019,0.5025645,2203.3967,15354606.0,
