Entity,Code,Year,"Current health expenditure per capita, PPP (current international $)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,285.55814,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,750.4487,11627.28,42705372.0,
Argentina,ARG,2019,2198.8804,22071.748,44745516.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,605.9345,14442.041,10232761.0,
Bahrain,BHR,2019,1880.5751,49768.977,1494195.0,
Bangladesh,BGD,2019,123.287,5467.208,165516224.0,
Bolivia,BOL,2019,630.7591,8528.749,11777318.0,
Brazil,BRA,2019,1497.8147,14685.128,211782880.0,
Brunei,BRN,2019,1400.9136,61424.363,438058.0,
Burundi,BDI,2019,61.796417,729.65845,11874838.0,
Cambodia,KHM,2019,316.04703,4464.2944,16207746.0,
Cameroon,CMR,2019,136.23727,3756.5095,25782342.0,
China,CHN,2019,880.1913,15977.764,1421864064.0,
Congo,COG,2019,81.691925,3695.0618,5570736.0,
Democratic Republic of Congo,COD,2019,40.61374,1059.8921,89906896.0,
Djibouti,DJI,2019,104.14179,4768.113,1073999.0,
Egypt,EGY,2019,582.22736,11180.697,105618672.0,
Ethiopia,ETH,2019,75.11409,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,6738.6704,53874.316,83148144.0,
Haiti,HTI,2019,143.45038,3101.5942,11160441.0,
Honduras,HND,2019,435.68433,5613.6606,9958832.0,
India,IND,2019,211.00223,6608.624,1383112064.0,
Indonesia,IDN,2019,358.2896,11857.789,269582880.0,
Ireland,IRL,2019,6010.0664,86681.27,4896021.0,
Japan,JPN,2019,4587.0347,41697.41,125791680.0,
Kazakhstan,KAZ,2019,765.4896,26351.805,18754260.0,
Malawi,MWI,2019,81.70009,1517.7031,18867340.0,
Mongolia,MNG,2019,484.38678,12458.019,3232435.0,
Morocco,MAR,2019,424.50296,8217.599,36304408.0,
Mozambique,MOZ,2019,104.819954,1285.1848,30285602.0,
Nepal,NPL,2019,176.95505,3922.0813,28832500.0,
Niger,NER,2019,72.48323,1217.446,23443400.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,165.55055,5157.5464,223293280.0,
Palau,PLW,2019,2901.9253,17605.48,17939.0,
Poland,POL,2019,2206.5356,33159.75,38493600.0,
Qatar,QAT,2019,2736.825,90840.43,2807242.0,
Russia,RUS,2019,1704.0397,27254.574,145742288.0,
Rwanda,RWA,2019,145.73892,2191.4016,12835029.0,
Saudi Arabia,SAU,2019,2789.5598,44954.992,35827364.0,
Serbia,SRB,2019,1686.0693,18310.08,7401056.0,
Singapore,SGP,2019,4102.2734,98283.31,5866408.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,3521.3262,42758.59,51803832.0,
Tajikistan,TJK,2019,250.76889,3575.2798,9337008.0,
Tanzania,TZA,2019,99.34875,2577.6658,59872584.0,
Thailand,THA,2019,731.3096,18003.672,71307768.0,
Tonga,TON,2019,332.05203,6344.3115,104965.0,
Turkey,TUR,2019,1186.7393,28150.059,83481688.0,
Tuvalu,TUV,2019,1071.2986,4816.553,10983.0,
United States,USA,2019,10921.013,62478.254,334319680.0,
Zimbabwe,ZWE,2019,208.41232,2203.3967,15354606.0,
