Entity,Code,Year,Drank in last week
Females (16 to 24),,2005,56.2
Females (16 to 24),,2006,52.8
Females (16 to 24),,2008,52.2
Females (16 to 24),,2010,46.1
Females (16 to 24),,2012,48.3
Females (16 to 24),,2014,43.4
Females (16 to 24),,2016,44.8
Females (25 to 44),,2005,61.8
Females (25 to 44),,2006,60.0
Females (25 to 44),,2008,58.7
Females (25 to 44),,2010,56.5
Females (25 to 44),,2012,50.4
Females (25 to 44),,2014,50.7
Females (25 to 44),,2016,50.0
Females (45 to 64),,2005,61.3
Females (45 to 64),,2006,60.5
Females (45 to 64),,2008,60.1
Females (45 to 64),,2010,60.2
Females (45 to 64),,2012,58.8
Females (45 to 64),,2014,60.1
Females (45 to 64),,2016,59.9
Females (65 and over),,2005,43.4
Females (65 and over),,2006,44.5
Females (65 and over),,2008,43.2
Females (65 and over),,2010,43.2
Females (65 and over),,2012,44.6
Females (65 and over),,2014,50.4
Females (65 and over),,2016,44.8
Females (All aged 16+),,2005,57.0
Females (All aged 16+),,2006,55.9
Females (All aged 16+),,2008,54.9
Females (All aged 16+),,2010,53.5
Females (All aged 16+),,2012,51.5
Females (All aged 16+),,2014,52.7
Females (All aged 16+),,2016,51.3
Males (16 to 24),,2005,64.1
Males (16 to 24),,2006,60.5
Males (16 to 24),,2008,62.5
Males (16 to 24),,2010,48.5
Males (16 to 24),,2012,50.0
Males (16 to 24),,2014,51.9
Males (16 to 24),,2016,47.0
Males (25 to 44),,2005,74.4
Males (25 to 44),,2006,73.3
Males (25 to 44),,2008,72.0
Males (25 to 44),,2010,69.1
Males (25 to 44),,2012,63.4
Males (25 to 44),,2014,61.7
Males (25 to 44),,2016,62.0
Males (45 to 64),,2005,76.9
Males (45 to 64),,2006,76.0
Males (45 to 64),,2008,74.2
Males (45 to 64),,2010,73.1
Males (45 to 64),,2012,70.8
Males (45 to 64),,2014,71.3
Males (45 to 64),,2016,68.6
Males (65 and over),,2005,66.5
Males (65 and over),,2006,67.1
Males (65 and over),,2008,65.6
Males (65 and over),,2010,65.4
Males (65 and over),,2012,63.5
Males (65 and over),,2014,64.0
Males (65 and over),,2016,65.9
Males (All aged 16+),,2005,72.4
Males (All aged 16+),,2006,71.3
Males (All aged 16+),,2008,70.3
Males (All aged 16+),,2010,67.2
Males (All aged 16+),,2012,63.8
Males (All aged 16+),,2014,63.8
Males (All aged 16+),,2016,62.8
