Entity,Code,Year,"Agriculture, forestry, and fishing, value added (% of GDP)"
Brazil,BRA,1960,15.7324
Brazil,BRA,1970,10.373604
Brazil,BRA,1980,9.85064
Brazil,BRA,1990,6.9634404
Brazil,BRA,2000,4.75046
Brazil,BRA,2010,4.1157565
Brazil,BRA,2021,6.8912835
China,CHN,1960,23.175295
China,CHN,1970,34.79844
China,CHN,1980,29.633938
China,CHN,1990,26.584309
China,CHN,2000,14.676242
China,CHN,2010,9.325177
China,CHN,2021,7.2648163
India,IND,1960,41.741337
India,IND,1970,40.28961
India,IND,1980,34.408867
India,IND,1990,27.584888
India,IND,2000,21.611061
India,IND,2010,17.026508
India,IND,2021,16.818628
Nigeria,NGA,1990,21.556263
Nigeria,NGA,2000,21.35724
Nigeria,NGA,2010,23.893703
Nigeria,NGA,2021,23.35706
South Africa,ZAF,1960,9.041447
South Africa,ZAF,1970,5.746899
South Africa,ZAF,1980,5.3046513
South Africa,ZAF,1990,3.7770562
South Africa,ZAF,2000,2.614748
South Africa,ZAF,2010,2.1077876
South Africa,ZAF,2021,2.4676096
South Korea,KOR,1960,36.57463
South Korea,KOR,1970,26.485733
South Korea,KOR,1980,14.269316
South Korea,KOR,1990,7.6064963
South Korea,KOR,2000,3.8577921
South Korea,KOR,2010,2.1440163
South Korea,KOR,2021,1.7896487
United Kingdom,GBR,1990,1.2595004
United Kingdom,GBR,2000,0.8197845
United Kingdom,GBR,2010,0.5914855
United Kingdom,GBR,2021,0.6748319
United States,USA,2000,1.1505554
United States,USA,2010,1.0294373
United States,USA,2021,0.95956665
