Entity,Code,Year,Renewables per capita (kWh - equivalent)
Brazil,BRA,1965,891.5651
Brazil,BRA,1970,1275.7004
Brazil,BRA,1980,3323.2979
Brazil,BRA,1990,4627.2334
Brazil,BRA,2000,5687.5312
Brazil,BRA,2010,7114.253
Brazil,BRA,2022,8431.066
France,FRA,1965,2877.9392
France,FRA,1970,3403.9673
France,FRA,1980,3914.925
France,FRA,1990,2931.753
France,FRA,2000,3572.3638
France,FRA,2010,3946.2605
France,FRA,2022,5270.6436
India,IND,1965,113.32694
India,IND,1970,161.43483
India,IND,1980,235.26532
India,IND,1990,225.79642
India,IND,2000,224.36137
India,IND,2010,332.70676
India,IND,2022,743.044
Netherlands,NLD,1965,0.0
Netherlands,NLD,1970,0.0
Netherlands,NLD,1980,231.33252
Netherlands,NLD,1990,171.01303
Netherlands,NLD,2000,586.3037
Netherlands,NLD,2010,2209.5332
Netherlands,NLD,2022,8051.7456
South Africa,ZAF,1965,5.702167
South Africa,ZAF,1970,3.3048868
South Africa,ZAF,1980,99.55806
South Africa,ZAF,1990,74.8932
South Africa,ZAF,2000,102.69357
South Africa,ZAF,2010,92.053055
South Africa,ZAF,2022,866.2472
Sweden,SWE,1965,17699.406
Sweden,SWE,1970,15334.093
Sweden,SWE,1980,21219.764
Sweden,SWE,1990,25809.316
Sweden,SWE,2000,27821.758
Sweden,SWE,2010,25637.17
Sweden,SWE,2022,31948.436
United Kingdom,GBR,1965,251.47968
United Kingdom,GBR,1970,241.02182
United Kingdom,GBR,1980,207.57497
United Kingdom,GBR,1990,298.1979
United Kingdom,GBR,2000,513.6829
United Kingdom,GBR,2010,1451.4083
United Kingdom,GBR,2022,5820.2104
United States,USA,1965,3325.4656
United States,USA,1970,3999.4497
United States,USA,1980,4109.863
United States,USA,1990,4305.358
United States,USA,2000,3785.711
United States,USA,2010,4870.8745
United States,USA,2022,8912.268
