Entity,Code,Year,Nutrient nitrogen N (total) | 00003102 || Use per area of cropland | 005159 || Kilograms per hectare
El Salvador,SLV,1961,18.62
El Salvador,SLV,1970,72.0
El Salvador,SLV,1980,59.56
El Salvador,SLV,1990,65.08
El Salvador,SLV,2000,55.24
El Salvador,SLV,2010,84.55
El Salvador,SLV,2020,45.9
Sweden,SWE,1961,31.37
Sweden,SWE,1970,73.88
Sweden,SWE,1980,81.87
Sweden,SWE,1990,74.42
Sweden,SWE,2000,75.6
Sweden,SWE,2010,63.78
Sweden,SWE,2020,84.65
USSR,OWID_USS,1961,3.58
USSR,OWID_USS,1970,19.76
USSR,OWID_USS,1980,35.69
USSR,OWID_USS,1990,38.17
