Entity,Code,Year,Researchers in R&D (per million people)
China,CHN,1996,437.8269
China,CHN,2000,538.5778
China,CHN,2005,840.6356
China,CHN,2010,884.5934
China,CHN,2015,1150.8193
China,CHN,2020,1584.8651
Germany,DEU,1996,2830.529
Germany,DEU,2000,3167.951
Germany,DEU,2005,3335.035
Germany,DEU,2010,4058.0002
Germany,DEU,2015,4743.786
Germany,DEU,2020,5393.1455
India,IND,1996,152.0066
India,IND,2000,109.72807
India,IND,2005,134.91257
India,IND,2010,156.21967
India,IND,2015,216.00082
Japan,JPN,1996,4874.8027
Japan,JPN,2000,5078.033
Japan,JPN,2005,5303.9165
Japan,JPN,2010,5103.6255
Japan,JPN,2015,5173.031
Japan,JPN,2020,5454.683
South Korea,KOR,1996,2173.3503
South Korea,KOR,2000,2287.2886
South Korea,KOR,2005,3692.1655
South Korea,KOR,2010,5330.8013
South Korea,KOR,2015,7013.4907
South Korea,KOR,2020,8713.594
Sweden,SWE,2005,6085.1084
Sweden,SWE,2010,5251.45
Sweden,SWE,2015,6834.034
Sweden,SWE,2020,7930.181
United States,USA,1996,3140.3298
United States,USA,2000,3495.4595
United States,USA,2005,3739.7356
United States,USA,2010,3883.2297
United States,USA,2015,4269.874
