Entity,Code,Year,Per capita CO₂ emissions from domestic aviation
Algeria,DZA,2015,4.006399
Algeria,DZA,2016,4.837722
Algeria,DZA,2017,5.0042543
Algeria,DZA,2018,4.797654
Algeria,DZA,2019,2.1976929
Algeria,DZA,2020,0.577987
Algeria,DZA,2021,2.280413
Mozambique,MOZ,2015,3.867588
Mozambique,MOZ,2016,3.027968
Mozambique,MOZ,2017,2.8556418
Mozambique,MOZ,2018,3.2173553
Mozambique,MOZ,2019,0.56626576
Mozambique,MOZ,2020,0.922823
Mozambique,MOZ,2021,1.6188041
Portugal,PRT,2015,32.157932
Portugal,PRT,2016,37.255966
Portugal,PRT,2017,42.420437
Portugal,PRT,2018,42.05578
Portugal,PRT,2019,43.870796
Portugal,PRT,2020,22.68885
Portugal,PRT,2021,38.22574
South Africa,ZAF,2015,29.364677
South Africa,ZAF,2016,30.555141
South Africa,ZAF,2017,30.363186
South Africa,ZAF,2018,29.133966
South Africa,ZAF,2019,28.733421
South Africa,ZAF,2020,12.003688
South Africa,ZAF,2021,18.844711
Uzbekistan,UZB,2015,1.9292551
Uzbekistan,UZB,2016,1.809536
Uzbekistan,UZB,2017,1.609243
Uzbekistan,UZB,2018,1.8464242
Uzbekistan,UZB,2019,1.7868088
Uzbekistan,UZB,2020,0.52081835
Uzbekistan,UZB,2021,1.0613427
