Entity,Code,Year,15-19 years old total alcohol consumption in litres of pure alcohol - Sex: male,15-19 years old total alcohol consumption in litres of pure alcohol - Sex: female,Population (historical estimates),Continent
Africa,,2010,,,1055233717.0,
Algeria,DZA,2010,24.0,10.2,35856348.0,
Asia,,2010,,,4220041467.0,
Austria,AUT,2010,14.3,5.6,8362829.0,
Azerbaijan,AZE,2010,7.9,4.0,9237203.0,
Bangladesh,BGD,2010,9.7,5.5,148391136.0,
Belarus,BLR,2010,38.6,17.3,9731426.0,
Brazil,BRA,2010,13.6,3.7,196353504.0,
China,CHN,2010,5.0,1.1,1348191360.0,
Czechia,CZE,2010,14.5,7.8,10464750.0,
Ethiopia,ETH,2010,12.6,6.8,89237800.0,
Europe,,2010,,,737406197.0,
Germany,DEU,2010,21.3,7.2,81325088.0,
Hungary,HUN,2010,19.5,9.4,9986832.0,
India,IND,2010,3.2,0.3,1240613632.0,
Indonesia,IDN,2010,0.3,0.0,244016176.0,
Iran,IRN,2010,2.5,0.6,75373864.0,
Italy,ITA,2010,9.5,3.4,59822452.0,
Latvia,LVA,2010,26.4,10.5,2101537.0,
Lebanon,LBN,2010,39.5,8.4,4995799.0,
Lithuania,LTU,2010,34.9,14.5,3139021.0,
Mongolia,MNG,2010,12.4,2.0,2702527.0,
Mozambique,MOZ,2010,5.4,3.2,23073732.0,
Nepal,NPL,2010,13.7,0.9,27161572.0,
Nigeria,NGA,2010,11.6,4.7,160952864.0,
North America,,2010,,,543052879.0,
Oceania,,2010,,,37103109.0,
Palau,PLW,2010,11.0,2.1,18563.0,
Russia,RUS,2010,31.7,12.2,143242592.0,
South Africa,ZAF,2010,17.2,5.9,51784928.0,
South America,,2010,,,393078326.0,
Sri Lanka,LKA,2010,7.7,0.7,20668556.0,
Sudan,SDN,2010,25.0,5.9,33739932.0,
Turkey,TUR,2010,25.6,3.6,73195352.0,
Ukraine,UKR,2010,22.9,7.9,45683024.0,
United Kingdom,GBR,2010,15.7,5.2,62760048.0,
United States,USA,2010,18.2,5.6,311182848.0,
Vietnam,VNM,2010,9.4,0.3,87411016.0,
