Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: one-sided violence
Australia,AUS,1989,0
Australia,AUS,1995,0
Australia,AUS,2000,0
Australia,AUS,2005,0
Australia,AUS,2010,0
Australia,AUS,2015,0
Australia,AUS,2020,0
Australia,AUS,2022,0
Chad,TCD,1989,0
Chad,TCD,1995,47
Chad,TCD,2000,0
Chad,TCD,2005,165
Chad,TCD,2010,0
Chad,TCD,2015,114
Chad,TCD,2020,28
Chad,TCD,2022,0
France,FRA,1989,0
France,FRA,1995,0
France,FRA,2000,0
France,FRA,2005,0
France,FRA,2010,0
France,FRA,2015,130
France,FRA,2020,0
France,FRA,2022,0
Japan,JPN,1989,0
Japan,JPN,1995,0
Japan,JPN,2000,0
Japan,JPN,2005,0
Japan,JPN,2010,0
Japan,JPN,2015,0
Japan,JPN,2020,0
Japan,JPN,2022,0
Kyrgyzstan,KGZ,1989,0
Kyrgyzstan,KGZ,1995,0
Kyrgyzstan,KGZ,2000,0
Kyrgyzstan,KGZ,2005,0
Kyrgyzstan,KGZ,2010,0
Kyrgyzstan,KGZ,2015,0
Kyrgyzstan,KGZ,2020,0
Kyrgyzstan,KGZ,2022,0
Malta,MLT,1989,0
Malta,MLT,1995,0
Malta,MLT,2000,0
Malta,MLT,2005,0
Malta,MLT,2010,0
Malta,MLT,2015,0
Malta,MLT,2020,0
Malta,MLT,2022,0
Sao Tome and Principe,STP,1989,0
Sao Tome and Principe,STP,1995,0
Sao Tome and Principe,STP,2000,0
Sao Tome and Principe,STP,2005,0
Sao Tome and Principe,STP,2010,0
Sao Tome and Principe,STP,2015,0
Sao Tome and Principe,STP,2020,0
Sao Tome and Principe,STP,2022,0
