Entity,Code,Year,"Credit to Agriculture, Forestry and Fishing | 00023068 || Agriculture orientation index US$ | 006159 || Index"
Czechia,CZE,1993,0.030369
Czechia,CZE,1995,0.037634
Czechia,CZE,2000,0.66622
Czechia,CZE,2005,0.895722
Czechia,CZE,2010,0.99584
Czechia,CZE,2015,0.805098
Czechia,CZE,2021,0.901092
El Salvador,SLV,2005,0.63788
El Salvador,SLV,2010,0.554195
El Salvador,SLV,2015,0.58716
El Salvador,SLV,2021,0.539541
Melanesia,OWID_MNS,2005,0.186552
Melanesia,OWID_MNS,2010,0.146155
Melanesia,OWID_MNS,2015,0.124134
Melanesia,OWID_MNS,2021,0.157107
Mexico,MEX,2005,0.59177
Mexico,MEX,2010,0.492208
Mexico,MEX,2015,0.571608
Mexico,MEX,2021,0.535021
Morocco,MAR,2010,0.31442
Morocco,MAR,2015,0.337695
Morocco,MAR,2021,0.354428
Peru,PER,2010,0.869309
