Entity,Code,Year,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Rate)
Angola,AGO,1990,347.43
Angola,AGO,1995,313.46
Angola,AGO,2000,230.79
Angola,AGO,2005,138.73
Angola,AGO,2010,96.93
Angola,AGO,2015,64.78
Angola,AGO,2019,42.92
Chad,TCD,1990,290.77
Chad,TCD,1995,267.28
Chad,TCD,2000,270.48
Chad,TCD,2005,274.36
Chad,TCD,2010,256.73
Chad,TCD,2015,215.56
Chad,TCD,2019,185.21
Equatorial Guinea,GNQ,1990,305.71
Equatorial Guinea,GNQ,1995,254.98
Equatorial Guinea,GNQ,2000,99.63
Equatorial Guinea,GNQ,2005,38.73
Equatorial Guinea,GNQ,2010,17.51
Equatorial Guinea,GNQ,2015,10.14
Equatorial Guinea,GNQ,2019,8.54
Niger,NER,1990,449.63
Niger,NER,1995,409.04
Niger,NER,2000,336.3
Niger,NER,2005,275.7
Niger,NER,2010,170.31
Niger,NER,2015,146.24
Niger,NER,2019,123.18
