Entity,Code,Year,Share of the rural population using safely managed drinking water services,Share of the urban population using safely managed drinking water services,Population (historical estimates),Continent
Algeria,DZA,2022,63.149548,73.111015,,
Bangladesh,BGD,2022,62.350468,54.18856,,
Bhutan,BTN,2022,84.5769,58.859497,,
Brazil,BRA,2022,76.018555,88.85638,,
Chad,TCD,2022,2.653781,17.58653,,
Colombia,COL,2022,40.17546,81.22431,,
Costa Rica,CRI,2022,81.05455,80.38785,,
Cote d'Ivoire,CIV,2022,27.336279,58.774868,,
Democratic Republic of Congo,COD,2022,0.51261395,24.151451,,
Dominican Republic,DOM,2022,34.88531,46.878284,,
Ecuador,ECU,2022,53.307003,74.65207,,
Ethiopia,ETH,2022,5.812465,38.57992,,
Fiji,FJI,2022,27.007463,52.520725,,
Gambia,GMB,2022,12.179041,67.769485,,
Germany,DEU,2022,99.639114,99.99624,,
Ghana,GHA,2022,18.83939,62.56317,,
Indonesia,IDN,2022,24.255898,34.630238,,
Iran,IRN,2022,87.68601,96.194664,,
Iraq,IRQ,2022,47.643463,64.6,,
Malawi,MWI,2022,10.168559,52.373898,,
Morocco,MAR,2022,46.6636,90.25856,,
Nepal,NPL,2022,14.192517,23.162357,,
Pakistan,PAK,2022,46.855488,56.78444,,
Palestine,PSE,2022,76.37127,81.493355,,
Peru,PER,2022,23.01089,59.82331,,
Philippines,PHL,2022,34.97937,61.914223,,
Romania,ROU,2022,66.65007,94.95351,,
Samoa,WSM,2022,56.20458,90.1915,,
Serbia,SRB,2022,66.57597,81.52028,,
Sierra Leone,SLE,2022,8.712065,12.249182,,
Suriname,SUR,2022,40.806965,63.4127,,
Togo,TGO,2022,8.106781,33.85986,,
Tonga,TON,2022,23.135433,50.782,,
Turks and Caicos Islands,TCA,2022,55.65155,46.542835,,
Tuvalu,TUV,2022,5.3649683,10.465358,,
Uganda,UGA,2022,9.327637,45.085068,,
Ukraine,UKR,2022,86.11342,88.2692,,
Uzbekistan,UZB,2022,70.73878,88.783646,,
Vietnam,VNM,2022,46.39446,75.76801,,
