Entity,Code,Year,Annual CO₂ emissions from coal (per capita)
China,CHN,1950,0.14267918
China,CHN,2000,2.0581746
China,CHN,2022,5.786387
Germany,DEU,1800,0.044171557
Germany,DEU,1850,0.4490097
Germany,DEU,1900,5.804156
Germany,DEU,1950,7.0021415
Germany,DEU,2000,4.5794296
Germany,DEU,2022,2.9074721
India,IND,1900,0.03795494
India,IND,1950,0.1472174
India,IND,2000,0.54063594
India,IND,2022,1.3084203
United Kingdom,GBR,1750,1.0019125
United Kingdom,GBR,1800,2.9153564
United Kingdom,GBR,1850,4.489172
United Kingdom,GBR,1900,10.140881
United Kingdom,GBR,1950,9.068518
United Kingdom,GBR,2000,2.454426
United Kingdom,GBR,2022,0.29004592
United States,USA,1800,0.042136
United States,USA,1850,0.83870095
United States,USA,1900,8.37291
United States,USA,1950,8.478681
United States,USA,2000,7.6620736
United States,USA,2022,2.7630079
