Entity,Code,Year,Plug-in hybrid as a share of cars sold,Battery-electric as a share of cars sold
Brazil,BRA,2012,0.00058696,0.00241304
Brazil,BRA,2013,0.0011135,0.0043865
Brazil,BRA,2015,0.00131954,0.00278046
Brazil,BRA,2016,0.00265537,0.00734463
Brazil,BRA,2017,0.017492063,0.00150794
Brazil,BRA,2018,0.0108783785,0.00312162
Brazil,BRA,2019,0.060618557,0.02338144
Brazil,BRA,2020,0.10887097,0.04112903
Brazil,BRA,2021,0.5856115,0.15438849
Brazil,BRA,2022,0.5297297,0.45027027
Denmark,DNK,2011,0.00118483,0.24881516
Denmark,DNK,2012,0.00693227,0.28306773
Denmark,DNK,2013,0.0054902,0.27450982
Denmark,DNK,2014,0.047928993,0.852071
Denmark,DNK,2015,0.20466101,2.0953388
Denmark,DNK,2016,0.25909093,0.5909091
Denmark,DNK,2017,0.27969927,0.32030076
Denmark,DNK,2018,1.4152173,0.68478256
Denmark,DNK,2019,1.7425531,2.4574468
Denmark,DNK,2020,9.0,7.0
Denmark,DNK,2021,21.538462,13.461538
Denmark,DNK,2022,17.789474,21.210526
Israel,ISR,2012,0.00044925,0.26955077
Israel,ISR,2013,0.00748428,0.20251572
Israel,ISR,2014,0.019724138,0.00227586
Israel,ISR,2015,0.02294118,0.00105882
Israel,ISR,2016,0.020382352,0.00161765
Israel,ISR,2017,0.47852758,0.04147239
Israel,ISR,2018,1.158177,0.04182306
Israel,ISR,2019,1.3136842,0.2863158
Israel,ISR,2020,2.0347826,0.5652174
Israel,ISR,2021,3.6833334,3.1166668
Israel,ISR,2022,4.837209,8.16279
Mexico,MEX,2015,0.0005303,0.0069697
Mexico,MEX,2016,0.03444156,0.01655844
Mexico,MEX,2017,0.06709166,0.01590833
Mexico,MEX,2018,0.11555555,0.014444444
Mexico,MEX,2019,0.1076923,0.022307692
Mexico,MEX,2020,0.22105263,0.19894736
Mexico,MEX,2021,0.40384614,0.34615386
Mexico,MEX,2022,0.43333334,0.4766667
New Zealand,NZL,2011,0.00132,0.00858
New Zealand,NZL,2012,0.00314815,0.013851852
New Zealand,NZL,2013,0.00316667,0.015833333
New Zealand,NZL,2014,0.091875,0.048125
New Zealand,NZL,2015,0.08,0.120000005
New Zealand,NZL,2016,0.12584415,0.44415584
New Zealand,NZL,2017,0.1883721,1.0116279
New Zealand,NZL,2018,0.40714285,1.4928571
New Zealand,NZL,2019,0.64927536,2.1507246
New Zealand,NZL,2020,0.7777778,2.0222223
New Zealand,NZL,2021,1.2233009,2.376699
New Zealand,NZL,2022,4.2411346,8.758865
World,OWID_WRL,2010,0.00053765,0.010462351
World,OWID_WRL,2011,0.013125,0.056875
World,OWID_WRL,2012,0.08135593,0.07864407
World,OWID_WRL,2013,0.12223881,0.1477612
World,OWID_WRL,2014,0.16939394,0.26060605
World,OWID_WRL,2015,0.28,0.42
World,OWID_WRL,2016,0.34413332,0.54586667
World,OWID_WRL,2017,0.49830508,0.9016949
World,OWID_WRL,2018,0.72926825,1.5707316
World,OWID_WRL,2019,0.72499996,1.8749999
World,OWID_WRL,2020,1.3717171,2.8282826
World,OWID_WRL,2021,2.5430768,6.156923
World,OWID_WRL,2022,3.9803922,10.019608
