Entity,Code,Year,"10.b.1 - Total assistance for development, by donor countries (millions of current United States dollars) - DC_TRF_TOTDL"
Germany,DEU,2000,12330770000.0
Germany,DEU,2005,30682650000.0
Germany,DEU,2010,41636640000.0
Germany,DEU,2015,20645870000.0
Germany,DEU,2021,68835380000.0
Greece,GRC,2000,228520000.0
Greece,GRC,2005,709350000.0
Greece,GRC,2010,760650000.0
Greece,GRC,2015,-84600000.0
Greece,GRC,2021,165300000.0
Italy,ITA,2000,10846330000.0
Italy,ITA,2005,4103490000.0
Italy,ITA,2010,9608160000.0
Italy,ITA,2015,15621230000.0
Italy,ITA,2021,11963200000.0
Japan,JPN,2000,11422920000.0
Japan,JPN,2005,23238210000.0
Japan,JPN,2010,48249030000.0
Japan,JPN,2015,9701110000.0
Japan,JPN,2021,38494110000.0
Netherlands,NLD,2000,6947290000.0
Netherlands,NLD,2005,22780720000.0
Netherlands,NLD,2010,13013050000.0
Netherlands,NLD,2015,68159899999.99999
Netherlands,NLD,2021,-8238940000.000001
Romania,ROU,2010,114260000.0
Romania,ROU,2015,158090000.0
Romania,ROU,2021,417260000.0
Thailand,THA,2010,4470000.0
Thailand,THA,2015,62420000.0
Thailand,THA,2021,84540000.0
