Entity,Code,Year,Share of contribution to global warming
Brazil,BRA,1851,1.4261203
Brazil,BRA,1860,1.4119085
Brazil,BRA,1880,1.4281693
Brazil,BRA,1900,1.6289622
Brazil,BRA,1920,2.1948748
Brazil,BRA,1940,2.765087
Brazil,BRA,1960,3.2013464
Brazil,BRA,1980,3.9892325
Brazil,BRA,2000,4.6555367
Brazil,BRA,2021,4.871387
China,CHN,1851,6.6683965
China,CHN,1860,4.7728
China,CHN,1880,2.1116285
China,CHN,1900,2.7138412
China,CHN,1920,3.465424
China,CHN,1940,3.975523
China,CHN,1960,4.50159
China,CHN,1980,5.784845
China,CHN,2000,8.068947
China,CHN,2021,12.335825
European Union (28),,1851,16.573378
European Union (28),,1860,16.451166
European Union (28),,1880,19.403513
European Union (28),,1900,20.29177
European Union (28),,1920,20.396048
European Union (28),,1940,19.00599
European Union (28),,1960,17.462791
European Union (28),,1980,17.25174
European Union (28),,2000,15.62632
European Union (28),,2021,12.77134
India,IND,1851,6.460284
India,IND,1860,5.48861
India,IND,1880,4.846155
India,IND,1900,4.4085803
India,IND,1920,3.5435958
India,IND,1940,3.8930938
India,IND,1960,4.3481736
India,IND,1980,4.098519
India,IND,2000,4.2877507
India,IND,2021,4.7694726
Russia,RUS,1851,10.406586
Russia,RUS,1860,10.125199
Russia,RUS,1880,9.868946
Russia,RUS,1900,9.532205
Russia,RUS,1920,8.899398
Russia,RUS,1940,8.496093
Russia,RUS,1960,7.728541
Russia,RUS,1980,7.6123123
Russia,RUS,2000,7.292606
Russia,RUS,2021,6.0979924
United Kingdom,GBR,1851,5.256662
United Kingdom,GBR,1860,5.4041114
United Kingdom,GBR,1880,7.1850686
United Kingdom,GBR,1900,7.143884
United Kingdom,GBR,1920,6.729627
United Kingdom,GBR,1940,5.7892327
United Kingdom,GBR,1960,5.00656
United Kingdom,GBR,1980,3.97753
United Kingdom,GBR,2000,3.2238507
United Kingdom,GBR,2021,2.4109125
United States,USA,1851,25.007673
United States,USA,1860,26.851711
United States,USA,1880,29.206324
United States,USA,1900,29.643463
United States,USA,1920,29.64516
United States,USA,1940,27.99987
United States,USA,1960,25.378984
United States,USA,1980,22.351545
United States,USA,2000,20.036518
United States,USA,2021,17.334877
