Entity,Code,Year,AI job postings (% of all job postings)
Austria,AUT,2014,0.3994704
Austria,AUT,2015,0.36104104
Austria,AUT,2016,0.4132876
Austria,AUT,2017,0.59227383
Austria,AUT,2018,0.93626523
Austria,AUT,2019,0.8031963
Austria,AUT,2020,0.7228783
Austria,AUT,2021,0.7557873
Austria,AUT,2022,0.889697
Italy,ITA,2014,0.16797742
Italy,ITA,2015,0.16051364
Italy,ITA,2016,0.1333956
Italy,ITA,2017,0.16525653
Italy,ITA,2018,0.27782708
Italy,ITA,2019,0.53080297
Italy,ITA,2020,0.5848077
Italy,ITA,2021,0.56953365
Italy,ITA,2022,0.72022694
Netherlands,NLD,2014,0.8231325
Netherlands,NLD,2015,0.7636302
Netherlands,NLD,2016,0.6382301
Netherlands,NLD,2017,0.56114316
Netherlands,NLD,2018,0.70597327
Netherlands,NLD,2019,0.8360986
Netherlands,NLD,2020,1.1142054
Netherlands,NLD,2021,1.029499
Netherlands,NLD,2022,1.0147088
New Zealand,NZL,2014,0.15152285
New Zealand,NZL,2015,0.16400132
New Zealand,NZL,2016,0.14419727
New Zealand,NZL,2017,0.16523372
New Zealand,NZL,2018,0.19629493
New Zealand,NZL,2019,0.18243378
New Zealand,NZL,2020,0.22912957
New Zealand,NZL,2021,0.35841864
New Zealand,NZL,2022,0.44713658
Spain,ESP,2018,0.46233
Spain,ESP,2019,0.63084114
Spain,ESP,2020,0.86700714
Spain,ESP,2021,0.9110279
Spain,ESP,2022,1.3305448
Sweden,SWE,2014,0.64500624
Sweden,SWE,2015,0.45928857
Sweden,SWE,2016,0.5531215
Sweden,SWE,2017,0.75179356
Sweden,SWE,2018,1.1376896
Sweden,SWE,2019,1.2729905
Sweden,SWE,2020,1.4833497
Sweden,SWE,2021,1.3895125
Sweden,SWE,2022,1.2026266
United Kingdom,GBR,2014,0.36102846
United Kingdom,GBR,2015,0.41467753
United Kingdom,GBR,2016,0.4387775
United Kingdom,GBR,2017,0.626699
United Kingdom,GBR,2018,0.746701
United Kingdom,GBR,2019,0.8325746
United Kingdom,GBR,2020,1.0181112
United Kingdom,GBR,2021,1.0280137
United Kingdom,GBR,2022,1.1400135
United States,USA,2014,0.5780925
United States,USA,2015,0.73235655
United States,USA,2016,0.81082654
United States,USA,2017,1.083591
United States,USA,2018,1.515797
United States,USA,2019,1.7093557
United States,USA,2020,1.6143652
United States,USA,2021,1.824311
United States,USA,2022,2.0549836
