Entity,Code,Year,"Contraceptive prevalence, any modern method (% of married women ages 15-49)","GDP per capita, PPP (constant 2017 international $)",Continent
Algeria,DZA,2021,,11039.806,
Argentina,ARG,2021,,21527.195,
Bangladesh,BGD,2021,,5911.013,
Belarus,BLR,2021,,19751.203,
Burkina Faso,BFA,2021,32.0,2179.789,
Central African Republic,CAF,2021,,837.5047,
Chad,TCD,2021,,1425.4945,
Cote d'Ivoire,CIV,2021,,5325.0303,
Dominican Republic,DOM,2021,,18626.078,
East Asia and Pacific (WB),,2021,,18577.42,
Ecuador,ECU,2021,,10668.758,
Ethiopia,ETH,2021,,2319.0684,
Gambia,GMB,2021,,2076.5664,
Guyana,GUY,2021,,21925.188,
Honduras,HND,2021,,5572.177,
India,IND,2021,56.4,6592.042,
Kiribati,KIR,2021,,1937.0894,
Liberia,LBR,2021,,1423.2296,
Lower-middle-income countries,,2021,,7241.6,
Madagascar,MDG,2021,42.7,1463.6288,
Malawi,MWI,2021,,1491.1339,
Middle-income countries,,2021,,11891.63,
Niger,NER,2021,10.0,1186.5768,
North America (WB),,2021,,62042.66,
North Macedonia,MKD,2021,,16467.316,
Peru,PER,2021,,12514.651,
Rwanda,RWA,2021,,2238.9573,
Saudi Arabia,SAU,2021,,44339.312,
Serbia,SRB,2021,,19831.297,
Somalia,SOM,2021,,1136.736,
South Asia (WB),,2021,,6299.5947,
Tonga,TON,2021,,6142.857,
Turks and Caicos Islands,TCA,2021,,18512.457,
Tuvalu,TUV,2021,,4924.0273,
World,OWID_WRL,2021,,16997.135,
