Entity,Code,Year,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number)
Australia,AUS,1990,458
Australia,AUS,1995,741
Australia,AUS,2000,896
Australia,AUS,2005,805
Australia,AUS,2010,700
Australia,AUS,2015,954
Australia,AUS,2019,1128
Austria,AUT,1990,71
Austria,AUT,1995,149
Austria,AUT,2000,166
Austria,AUT,2005,197
Austria,AUT,2010,211
Austria,AUT,2015,155
Austria,AUT,2019,140
Benin,BEN,1990,5
Benin,BEN,1995,6
Benin,BEN,2000,7
Benin,BEN,2005,8
Benin,BEN,2010,10
Benin,BEN,2015,12
Benin,BEN,2019,15
Egypt,EGY,1990,24
Egypt,EGY,1995,28
Egypt,EGY,2000,34
Egypt,EGY,2005,42
Egypt,EGY,2010,53
Egypt,EGY,2015,68
Egypt,EGY,2019,82
Papua New Guinea,PNG,1990,8
Papua New Guinea,PNG,1995,10
Papua New Guinea,PNG,2000,11
Papua New Guinea,PNG,2005,13
Papua New Guinea,PNG,2010,17
Papua New Guinea,PNG,2015,21
Papua New Guinea,PNG,2019,25
Russia,RUS,1990,4495
Russia,RUS,1995,7941
Russia,RUS,2000,10108
Russia,RUS,2005,12436
Russia,RUS,2010,10443
Russia,RUS,2015,7565
Russia,RUS,2019,5877
