Entity,Code,Year,Solar and wind electricity per capita - kWh
Burkina Faso,BFA,2000,0.0
Burkina Faso,BFA,2010,0.6204686
Croatia,HRV,1990,0.0
Croatia,HRV,2000,0.0
Croatia,HRV,2010,32.04629
Croatia,HRV,2022,602.9237
Jamaica,JAM,2000,0.0
Jamaica,JAM,2010,18.288864
Latvia,LVA,1990,0.0
Latvia,LVA,2000,0.0
Latvia,LVA,2010,23.79211
Latvia,LVA,2022,108.0699
Nepal,NPL,2000,0.0
Nepal,NPL,2010,0.3681672
New Zealand,NZL,1980,0.0
New Zealand,NZL,1990,0.0
New Zealand,NZL,2000,31.126257
New Zealand,NZL,2010,372.72696
New Zealand,NZL,2022,655.7012
Singapore,SGP,1971,0.0
Singapore,SGP,1980,0.0
Singapore,SGP,1990,0.0
Singapore,SGP,2000,0.0
Singapore,SGP,2010,0.0
Singapore,SGP,2022,157.30403
