Entity,Code,Year,Book titles per capita (Fink-Jensen 2015)
Germany,DEU,1500,45.23809523809524
Germany,DEU,1600,126.60660660660564
Germany,DEU,1700,151.53615153615038
Germany,DEU,1800,153.64201410713036
Germany,DEU,1900,455.83584614253147
Spain,ESP,1500,7.56
Spain,ESP,1600,9.255172413793032
Spain,ESP,1700,24.6511627906975
Spain,ESP,1800,28.126153846153844
Sweden,SWE,1500,0.0
Sweden,SWE,1600,5.263157894736882
Sweden,SWE,1700,175.39682539682732
Sweden,SWE,1800,326.6151087086833
Sweden,SWE,1900,1217.1194059018956
Sweden,SWE,2009,2504.4150110375276
United Kingdom,GBR,1500,13.44808354659964
United Kingdom,GBR,1600,65.31604538087488
United Kingdom,GBR,1700,362.1716287215402
United Kingdom,GBR,1800,298.03081845131635
United Kingdom,GBR,1900,143.79783744380998
United Kingdom,GBR,2009,2114.8528136403056
