Entity,Code,Year,Eating disorders (share of population) - Sex: Male - Age: Age-standardized,Eating disorders (share of population) - Sex: Female - Age: Age-standardized,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,0.19532643,0.46778315,44745516.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,0.67227024,1.3957537,25357168.0,
Brazil,BRA,2019,0.14756115,0.31647152,211782880.0,
Europe,,2019,,,747418251.0,
European Union (27),,2019,0.20344388,0.6301249,445027038.0,
High-income countries,,2019,0.22996835,0.6162839,1214846354.0,
Iran,IRN,2019,0.19039683,0.32033473,86564208.0,
Israel,ISR,2019,0.20855153,0.57064116,8607922.0,
Italy,ITA,2019,0.21397236,0.8899479,59727936.0,
Japan,JPN,2019,0.25822306,0.5253084,125791680.0,
Low-income countries,,2019,0.064938776,0.1136337,661633048.0,
Lower-middle-income countries,,2019,0.09452748,0.16000827,3326051409.0,
Luxembourg,LUX,2019,0.28294563,0.8662557,619981.0,
Monaco,MCO,2019,0.41134617,1.3320221,37059.0,
New Zealand,NZL,2019,0.32916325,0.8731309,4959033.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,0.201472,0.38688555,4602769.0,
Singapore,SGP,2019,0.30962422,0.5997228,5866408.0,
Somalia,SOM,2019,0.033747457,0.05771298,15981312.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,0.222033,0.96892655,47131372.0,
Turkey,TUR,2019,0.15187052,0.44028714,83481688.0,
World,OWID_WRL,2019,0.11792546,0.23148793,7764951040.0,
