Entity,Code,Year,"Number of new cases of venomous animal contact per 100,000 people, in both sexes aged age-standardized"
Austria,AUT,1990,100.15392
Austria,AUT,1995,96.23739
Austria,AUT,2000,93.469894
Austria,AUT,2005,91.38592
Austria,AUT,2010,89.66528
Austria,AUT,2015,88.681564
Austria,AUT,2019,87.49867
Bulgaria,BGR,1990,393.29437
Bulgaria,BGR,1995,389.20087
Bulgaria,BGR,2000,398.9874
Bulgaria,BGR,2005,388.08008
Bulgaria,BGR,2010,365.60547
Bulgaria,BGR,2015,350.23074
Bulgaria,BGR,2019,345.6529
Cuba,CUB,1990,374.0108
Cuba,CUB,1995,393.44308
Cuba,CUB,2000,450.76535
Cuba,CUB,2005,482.61685
Cuba,CUB,2010,502.2415
Cuba,CUB,2015,471.22186
Cuba,CUB,2019,482.0176
Kuwait,KWT,1990,122.596466
Kuwait,KWT,1995,115.90246
Kuwait,KWT,2000,110.48824
Kuwait,KWT,2005,111.655396
Kuwait,KWT,2010,113.31638
Kuwait,KWT,2015,115.86797
Kuwait,KWT,2019,125.19004
