Entity,Code,Year,Human Development Index,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,0.478,1516.3057,40099460.0,
Africa,,2021,,,1393676724.0,
Angola,AGO,2021,0.586,5908.57,34503776.0,
Asia,,2021,,,4693332132.0,
Bahrain,BHR,2021,0.875,49387.418,1463266.0,
Brazil,BRA,2021,0.754,14592.353,214326224.0,
Brunei,BRN,2021,0.829,60127.023,445382.0,
Burkina Faso,BFA,2021,0.449,2179.789,22100690.0,
Burundi,BDI,2021,0.426,705.0304,12551215.0,
Chile,CHL,2021,0.855,25449.13,19493184.0,
China,CHN,2021,0.768,17602.695,1425893504.0,
Djibouti,DJI,2021,0.509,4913.2563,1105562.0,
Egypt,EGY,2021,0.731,11566.05,109262184.0,
El Salvador,SLV,2021,0.675,9086.047,6314165.0,
Equatorial Guinea,GNQ,2021,0.596,14637.008,1634473.0,
Eswatini,SWZ,2021,0.597,8856.829,1192273.0,
Ethiopia,ETH,2021,0.498,2319.0684,120283024.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,0.903,44993.125,64531448.0,
Guatemala,GTM,2021,0.627,8926.7,17608484.0,
Honduras,HND,2021,0.621,5572.177,10278346.0,
India,IND,2021,0.633,6592.042,1407563904.0,
Indonesia,IDN,2021,0.705,11858.146,273753184.0,
Japan,JPN,2021,0.925,40784.383,124612528.0,
Kiribati,KIR,2021,0.624,1937.0894,128883.0,
Libya,LBY,2021,0.718,21965.174,6735280.0,
Madagascar,MDG,2021,0.501,1463.6288,28915652.0,
Malaysia,MYS,2021,0.803,26333.156,33573872.0,
Mexico,MEX,2021,0.758,19086.105,126705136.0,
Mozambique,MOZ,2021,0.446,1226.767,32077074.0,
Myanmar,MMR,2021,0.585,4032.6257,53798088.0,
Niger,NER,2021,0.4,1186.5768,25252722.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,0.544,5232.1426,231402112.0,
Palestine,PSE,2021,0.715,5643.0723,5133393.0,
Philippines,PHL,2021,0.699,8094.693,113880336.0,
Poland,POL,2021,0.876,34915.523,38307724.0,
Qatar,QAT,2021,0.855,92862.35,2688239.0,
Russia,RUS,2021,0.822,27960.102,145102752.0,
Saint Kitts and Nevis,KNA,2021,0.777,26485.816,47631.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2021,0.508,3701.069,45657204.0,
Tajikistan,TJK,2021,0.685,3903.32,9750078.0,
Tanzania,TZA,2021,0.549,2581.6997,63588332.0,
Tonga,TON,2021,0.745,6142.857,106034.0,
Uganda,UGA,2021,0.525,2246.414,45853780.0,
United States,USA,2021,0.921,63669.71,336997632.0,
Uzbekistan,UZB,2021,0.727,7734.8325,34081452.0,
Zimbabwe,ZWE,2021,0.593,2115.1445,15993525.0,
