Entity,Code,Year,"Median (Disposable household income, equivalized)"
Australia,AUS,2010,31053.91
Canada,CAN,1990,27185.3
Canada,CAN,2000,26563.62
Canada,CAN,2010,31661.85
France,FRA,1970,13741.49
France,FRA,1990,21769.23
France,FRA,2000,24065.74
France,FRA,2010,26755.75
Germany,DEU,1990,28107.38
Germany,DEU,2000,27538.55
Germany,DEU,2010,27845.87
Sweden,SWE,2000,19951.31
Sweden,SWE,2010,25843.36
United States,USA,1963,21200.4
United States,USA,1970,27070.37
United States,USA,1980,28379.24
United States,USA,1990,30679.28
United States,USA,2000,34123.38
United States,USA,2010,33891.36
United States,USA,2021,42139.95
