Entity,Code,Year,Cassava | 00000125 || Production | 005510 || tonnes
Argentina,ARG,1961,225200.0
Argentina,ARG,1970,291600.0
Argentina,ARG,1980,221700.0
Argentina,ARG,1990,140000.0
Argentina,ARG,2000,170000.0
Argentina,ARG,2010,181800.0
Argentina,ARG,2021,196465.19
Dominican Republic,DOM,1961,140391.0
Dominican Republic,DOM,1970,170000.0
Dominican Republic,DOM,1980,80579.0
Dominican Republic,DOM,1990,132027.0
Dominican Republic,DOM,2000,125045.77
Dominican Republic,DOM,2010,204920.48
Dominican Republic,DOM,2021,167939.27
Guinea,GIN,1961,450000.0
Guinea,GIN,1970,480000.0
Guinea,GIN,1980,480000.0
Guinea,GIN,1990,565140.0
Guinea,GIN,2000,845488.0
Guinea,GIN,2010,1062233.0
Guinea,GIN,2021,2743166.0
Middle Africa (FAO),,1961,11917000.0
Middle Africa (FAO),,1970,14119424.0
Middle Africa (FAO),,1980,17262100.0
Middle Africa (FAO),,1990,23758136.0
Middle Africa (FAO),,2000,24235820.0
Middle Africa (FAO),,2010,51392468.0
Middle Africa (FAO),,2021,63670364.0
Venezuela,VEN,1961,339223.0
Venezuela,VEN,1970,317197.0
Venezuela,VEN,1980,312114.0
Venezuela,VEN,1990,301647.0
Venezuela,VEN,2000,570564.0
Venezuela,VEN,2010,374430.0
Venezuela,VEN,2021,413628.66
