Entity,Code,Year,Coal per capita (kWh),GDP per capita,417485-annotations,Continent
Africa,,2018,0.8991998999999999,,,
Algeria,DZA,2018,0.13869342,14228.025,,
Argentina,ARG,2018,0.3086701,18556.383,,
Asia,,2018,7.31068,,,
Australia,AUS,2018,20.372217000000003,49830.8,,
Austria,AUT,2018,3.651931,42988.07,,
Bangladesh,BGD,2018,0.17453654,4099.253,,
Bulgaria,BGR,2018,8.914342000000001,18444.26,,
Chile,CHL,2018,4.6286074,22104.766,,
China,CHN,2018,15.773501,13101.706,,
Cyprus,CYP,2018,0.12987914,27184.416,,
Czechia,CZE,2018,17.657307,30748.508,,
Ecuador,ECU,2018,0.019046429,10638.825,,
Estonia,EST,2018,37.16735,27408.664,,
Europe,,2018,5.5569497000000005,,,
Finland,FIN,2018,8.8626045,38896.7,,
France,FRA,2018,1.4819966,38515.918,,
Hong Kong,HKG,2018,10.016697,50839.37,,
Hungary,HUN,2018,2.5263457,25622.812,,
India,IND,2018,3.638853,6806.4985,,
Indonesia,IDN,2018,2.4553005,11851.737,,
Ireland,IRL,2018,3.3933247,64684.3,,
Israel,ISR,2018,6.4780283,32954.77,,
Italy,ITA,2018,1.7129519,34364.168,,
Japan,JPN,2018,10.982438,38673.81,,
Kazakhstan,KAZ,2018,22.840623,25307.555,,
Kuwait,KWT,2018,0.50957147,65520.74,,
Malaysia,MYS,2018,7.9922515,24842.355,,
Morocco,MAR,2018,1.6670343,8451.136,,
Netherlands,NLD,2018,5.5600415000000005,47474.11,,
North America,,2018,6.9132085,,,
North Macedonia,MKD,2018,4.754714,13074.231,,
Norway,NOR,2018,1.748865,84580.13,,
Oceania,,2018,12.330857,,,
Pakistan,PAK,2018,0.6264296,5510.3965,,
Poland,POL,2018,15.035132,27455.236,,
Qatar,QAT,2018,0.16870999,153764.17,,
Romania,ROU,2018,3.0408657,20126.293,,
South America,,2018,0.8134601,,,
Ukraine,UKR,2018,7.3408774,9813.363,,
