Entity,Code,Year,Cumulative CO₂ emissions from cement
China,CHN,1950,5608402.0
China,CHN,2000,2721087500.0
China,CHN,2022,16403185000.0
India,IND,1950,14204884.0
India,IND,2000,657012200.0
India,IND,2022,2788681500.0
South Africa,ZAF,1900,0.0
South Africa,ZAF,1950,8907718.0
South Africa,ZAF,2000,149178500.0
South Africa,ZAF,2022,259885520.0
United Kingdom,GBR,1950,66445690.0
United Kingdom,GBR,2000,423168300.0
United Kingdom,GBR,2022,527934720.0
United States,USA,1800,0.0
United States,USA,1850,0.0
United States,USA,1900,13289.0
United States,USA,1950,325608160.0
United States,USA,2000,1956071000.0
United States,USA,2022,2837357300.0
