Entity,Code,Year,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number)
Burkina Faso,BFA,1990,1658
Burkina Faso,BFA,1995,1764
Burkina Faso,BFA,2000,1881
Burkina Faso,BFA,2005,1883
Burkina Faso,BFA,2010,2053
Burkina Faso,BFA,2015,2444
Burkina Faso,BFA,2019,2714
United Arab Emirates,ARE,1990,310
United Arab Emirates,ARE,1995,424
United Arab Emirates,ARE,2000,514
United Arab Emirates,ARE,2005,621
United Arab Emirates,ARE,2010,988
United Arab Emirates,ARE,2015,1387
United Arab Emirates,ARE,2019,1778
