Entity,Code,Year,Male-to-female height ratio
Europe and Central Asia,,1896,1.081828104
Europe and Central Asia,,1920,1.075297166
Europe and Central Asia,,1940,1.072511929
Europe and Central Asia,,1960,1.076540706
Europe and Central Asia,,1980,1.079741797
Europe and Central Asia,,1996,1.079906888
Latin America and Caribbean,,1896,1.082872771
Latin America and Caribbean,,1920,1.078021204
Latin America and Caribbean,,1940,1.075359625
Latin America and Caribbean,,1960,1.075470167
Latin America and Caribbean,,1980,1.079314589
Latin America and Caribbean,,1996,1.079447513
Middle East and North Africa,,1896,1.065052015
Middle East and North Africa,,1920,1.070446849
Middle East and North Africa,,1940,1.073457999
Middle East and North Africa,,1960,1.074992077
Middle East and North Africa,,1980,1.079692226
Middle East and North Africa,,1996,1.074126499
North America,,1896,1.079082272
North America,,1920,1.078273833
North America,,1940,1.076705706
North America,,1960,1.077430846
North America,,1980,1.080745044
North America,,1996,1.081473665
Sub-Saharan Africa,,1896,1.05990508
Sub-Saharan Africa,,1920,1.058067574
Sub-Saharan Africa,,1940,1.059223249
Sub-Saharan Africa,,1960,1.062161133
Sub-Saharan Africa,,1980,1.068144769
Sub-Saharan Africa,,1996,1.062068764
World,OWID_WRL,1896,1.075143867
World,OWID_WRL,1920,1.070868258
World,OWID_WRL,1940,1.068879028
World,OWID_WRL,1960,1.071041905
World,OWID_WRL,1980,1.075418098
World,OWID_WRL,1996,1.073859793
