Entity,Code,Year,Cocoa beans | 00000661 || Yield | 005419 || tonnes per hectare
Net Food Importing Developing Countries (FAO),,1961,0.3408
Net Food Importing Developing Countries (FAO),,1970,0.39609998
Net Food Importing Developing Countries (FAO),,1980,0.42839998
Net Food Importing Developing Countries (FAO),,1990,0.46769997
Net Food Importing Developing Countries (FAO),,2000,0.6247
Net Food Importing Developing Countries (FAO),,2010,0.5491
Net Food Importing Developing Countries (FAO),,2021,0.5202
Peru,PER,1961,0.48
Peru,PER,1970,0.4956
Peru,PER,1980,0.5129
Peru,PER,1990,0.47709998
Peru,PER,2000,0.6067
Peru,PER,2010,0.60389996
Peru,PER,2021,0.86679995
South America (FAO),,1961,0.2911
South America (FAO),,1970,0.36609998
South America (FAO),,1980,0.52059996
South America (FAO),,1990,0.3651
South America (FAO),,2000,0.26549998
South America (FAO),,2010,0.38149998
South America (FAO),,2021,0.53459996
