Entity,Code,Year,democracy_support_claassen,democracy_support_high_claassen,democracy_support_low_claassen
Argentina,ARG,1995,0.75106353,1.3028805,0.20581228
Argentina,ARG,2000,0.16782004,0.71464586,-0.37923545
Argentina,ARG,2005,0.10278947,0.62681001,-0.40819785
Argentina,ARG,2010,0.17312601,0.67121071,-0.30416057
Argentina,ARG,2015,0.31990579,0.84864497,-0.21627736
Argentina,ARG,2020,-0.54578763,0.041462086,-1.1358616
Australia,AUS,1995,1.0913078,1.8009295,0.40402934
Australia,AUS,2000,1.1501838,2.1010075,0.21878557
Australia,AUS,2005,1.1970026,1.9283696,0.49927399
Australia,AUS,2010,1.0462087,1.9684571,0.16009216
Australia,AUS,2015,0.92362279,1.6908108,0.21964568
Australia,AUS,2020,0.82041597,1.7434912,-0.13025182
Botswana,BWA,2000,0.43579501,1.281321,-0.42756245
Botswana,BWA,2005,0.44328228,1.1857883,-0.30510548
Botswana,BWA,2010,0.96069324,1.8760906,0.090519629
Botswana,BWA,2015,0.93413913,1.7989897,0.1215762
Botswana,BWA,2020,1.0118135,2.1976769,-0.1219331
China,CHN,2005,-0.62113142,0.039702155,-1.292243
China,CHN,2010,-0.79365325,-0.16797464,-1.4401969
China,CHN,2015,-0.10228936,0.67345309,-0.87604845
China,CHN,2020,0.29570782,1.2203087,-0.64529043
