Entity,Code,Year,"Change in Global Hunger Index, 1992-2017 (Global Hunger Index 2017)",Global Hunger Index in 1992,Population (historical estimates),Continent
Afghanistan,AFG,2017,-16.9,50.2,35643420.0,
Afghanistan,AFG,1992,,,12057436.0,
Africa,,1992,,,671931834.0,
Africa,,2017,,,1263333997.0,
Algeria,DZA,2017,-8.0,17.5,41136548.0,
Algeria,DZA,1992,,,26748302.0,
Angola,AGO,2017,-33.3,65.8,30208634.0,
Angola,AGO,1992,,,12632509.0,
Argentina,ARG,2017,-1.6,7.0,44054616.0,
Argentina,ARG,1992,,,33568280.0,
Asia,,1992,,,3324377494.0,
Asia,,2017,,,4547095064.0,
Bangladesh,BGD,2017,-27.1,53.6,161793968.0,
Bangladesh,BGD,1992,,,111272104.0,
Bolivia,BOL,2017,-19.5,36.7,11435535.0,
Bolivia,BOL,1992,,,7394417.0,
Brazil,BRA,2017,-10.5,15.9,208504960.0,
Brazil,BRA,1992,,,155900784.0,
Burkina Faso,BFA,2017,-19.4,47.0,19835860.0,
Burkina Faso,BFA,1992,,,9598555.0,
Central African Republic,CAF,2017,-1.3,52.2,4996741.0,
Central African Republic,CAF,1992,,,2991733.0,
Chad,TCD,2017,-19.0,62.5,15085893.0,
Chad,TCD,1992,,,6302934.0,
Chile,CHL,2017,-3.4,5.9,18368582.0,
Chile,CHL,1992,,,13782300.0,
China,CHN,2017,-18.4,25.9,1410275968.0,
China,CHN,1992,,,1183813376.0,
Cote d'Ivoire,CIV,2017,-6.4,32.9,24848024.0,
Cote d'Ivoire,CIV,1992,,,12838315.0,
Cuba,CUB,2017,-8.0,10.5,11336405.0,
Cuba,CUB,1992,,,10783745.0,
Djibouti,DJI,2017,-28.9,60.3,1040242.0,
Djibouti,DJI,1992,,,623208.0,
Dominican Republic,DOM,2017,-12.2,23.8,10647247.0,
Dominican Republic,DOM,1992,,,7427347.0,
Ecuador,ECU,2017,-7.9,22.3,16696947.0,
Ecuador,ECU,1992,,,10914222.0,
Egypt,EGY,2017,-5.4,20.1,101789384.0,
Egypt,EGY,1992,,,59989148.0,
Europe,,1992,,,726070329.0,
Europe,,2017,,,745657647.0,
Gabon,GAB,2017,-10.4,24.2,2140225.0,
Gabon,GAB,1992,,,1037451.0,
Ghana,GHA,2017,-25.7,41.9,30222266.0,
Ghana,GHA,1992,,,16241548.0,
Guatemala,GTM,2017,-7.8,28.5,16578718.0,
Guatemala,GTM,1992,,,9576630.0,
Guinea,GIN,2017,-17.9,46.5,12240791.0,
Guinea,GIN,1992,,,6832196.0,
India,IND,2017,-14.8,46.2,1354195712.0,
India,IND,1992,,,907574080.0,
Indonesia,IDN,2017,-13.0,35.0,264498848.0,
Indonesia,IDN,1992,,,188558416.0,
Iraq,IRQ,2017,1.1,21.8,39621156.0,
Iraq,IRQ,1992,,,18385682.0,
Kenya,KEN,2017,-18.1,39.1,48948140.0,
Kenya,KEN,1992,,,24655724.0,
Kuwait,KWT,2017,-17.5,20.0,4124904.0,
Kuwait,KWT,1992,,,1620639.0,
Laos,LAO,2017,-24.8,52.3,6997925.0,
Laos,LAO,1992,,,4561117.0,
Lesotho,LSO,2017,-2.4,26.5,2170622.0,
Lesotho,LSO,1992,,,1858515.0,
Madagascar,MDG,2017,-5.6,43.9,26169540.0,
Madagascar,MDG,1992,,,12623342.0,
Malawi,MWI,2017,-31.0,58.2,17881172.0,
Malawi,MWI,1992,,,10115423.0,
Malaysia,MYS,2017,-9.6,19.8,31975812.0,
Malaysia,MYS,1992,,,18526708.0,
Mauritania,MRT,2017,-14.2,39.4,4160018.0,
Mauritania,MRT,1992,,,2147536.0,
Mexico,MEX,2017,-7.5,14.0,122839256.0,
Mexico,MEX,1992,,,84993160.0,
Myanmar,MMR,2017,-33.0,55.6,52288344.0,
Myanmar,MMR,1992,,,41237808.0,
Namibia,NAM,2017,-9.7,35.4,2364540.0,
Namibia,NAM,1992,,,1461694.0,
Nepal,NPL,2017,-20.5,42.5,28183424.0,
Nepal,NPL,1992,,,20702138.0,
Nicaragua,NIC,2017,-22.5,36.1,6480534.0,
Nicaragua,NIC,1992,,,4427177.0,
Niger,NER,2017,-31.7,66.2,21737924.0,
Niger,NER,1992,,,8907642.0,
Nigeria,NGA,2017,-23.3,48.8,193495904.0,
Nigeria,NGA,1992,,,100182048.0,
North America,,1992,,,434703257.0,
North America,,2017,,,581258143.0,
North Korea,PRK,2017,-3.7,31.9,25516318.0,
North Korea,PRK,1992,,,21439992.0,
Oceania,,1992,,,27637470.0,
Oceania,,2017,,,41817267.0,
Pakistan,PAK,2017,-10.1,42.7,216379648.0,
Pakistan,PAK,1992,,,122375176.0,
Panama,PAN,2017,-10.7,19.9,4096071.0,
Panama,PAN,1992,,,2554387.0,
Peru,PER,2017,-20.0,28.7,31605488.0,
Peru,PER,1992,,,23047250.0,
Philippines,PHL,2017,-10.5,30.5,106738496.0,
Philippines,PHL,1992,,,64543524.0,
Romania,ROU,2017,-4.1,9.3,19698852.0,
Romania,ROU,1992,,,22800964.0,
Rwanda,RWA,2017,-21.9,53.3,12230343.0,
Rwanda,RWA,1992,,,7657202.0,
Sierra Leone,SLE,2017,-18.7,57.2,7677570.0,
Sierra Leone,SLE,1992,,,4301575.0,
South America,,1992,,,307967492.0,
South America,,2017,,,420982650.0,
Thailand,THA,2017,-15.2,25.8,70898208.0,
Thailand,THA,1992,,,56939020.0,
Togo,TGO,2017,-23.3,45.8,7852799.0,
Togo,TGO,1992,,,4106228.0,
Turkey,TUR,2017,-11.8,14.3,82089824.0,
Turkey,TUR,1992,,,56302040.0,
Venezuela,VEN,2017,-2.2,15.2,30563430.0,
Venezuela,VEN,1992,,,20700462.0,
Vietnam,VNM,2017,-24.2,40.2,94033048.0,
Vietnam,VNM,1992,,,69788752.0,
Yemen,YEM,2017,-7.4,43.5,30034386.0,
Yemen,YEM,1992,,,14433772.0,
Zambia,ZMB,2017,-10.3,48.5,17298056.0,
Zambia,ZMB,1992,,,8074342.0,
Zimbabwe,ZWE,2017,-2.0,35.8,14751101.0,
Zimbabwe,ZWE,1992,,,10641504.0,
