Entity,Code,Year,Solar energy capacity - GW
Brazil,BRA,2005,0.00071800005
Brazil,BRA,2010,0.00085400004
Brazil,BRA,2015,0.045567002
Brazil,BRA,2020,8.2905035
Brazil,BRA,2022,24.078857
Chile,CHL,2015,0.57600003
Chile,CHL,2020,3.2054381
Chile,CHL,2022,6.2504354
China,CHN,2000,0.033515003
China,CHN,2005,0.1412
China,CHN,2010,1.0218
China,CHN,2015,43.5488
China,CHN,2020,253.9638
China,CHN,2022,393.03183
India,IND,2000,0.001084
India,IND,2005,0.011567001
India,IND,2010,0.065362
India,IND,2015,5.6934843
India,IND,2020,39.38516
India,IND,2022,63.146084
Mexico,MEX,2000,0.014
Mexico,MEX,2005,0.016
Mexico,MEX,2010,0.02981
Mexico,MEX,2015,0.287
Mexico,MEX,2020,6.70908
Mexico,MEX,2022,9.02645
Spain,ESP,2000,0.010000001
Spain,ESP,2005,0.052
Spain,ESP,2010,4.605
Spain,ESP,2015,7.0080633
Spain,ESP,2020,12.439601
Spain,ESP,2022,20.51754
World,OWID_WRL,2000,1.227518
World,OWID_WRL,2005,4.9473443
World,OWID_WRL,2010,41.593166
World,OWID_WRL,2015,228.91951
World,OWID_WRL,2020,720.4287
World,OWID_WRL,2022,1053.1154
