Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,62.4,,32353592.0,
Asia,,2019,,,4627738749.0,
Benin,BEN,2019,60.5,,12290443.0,
Brazil,BRA,2019,75.3,5.388581,211782880.0,
Burkina Faso,BFA,2019,60.0,,20951638.0,
Cameroon,CMR,2019,61.6,,25782342.0,
Central African Republic,CAF,2019,55.0,,5209329.0,
China,CHN,2019,78.0,0.14242858,1421864064.0,
Colombia,COL,2019,76.8,5.2847376,50187404.0,
Cote d'Ivoire,CIV,2019,59.3,,26147544.0,
East Timor,TLS,2019,68.3,,1280442.0,
Eswatini,SWZ,2019,60.5,,1169620.0,
Ethiopia,ETH,2019,65.8,,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,67.9,1.3182689,918472.0,
Germany,DEU,2019,81.6,0.0,83148144.0,
India,IND,2019,70.9,12.731296,1383112064.0,
Indonesia,IDN,2019,70.5,4.380574,269582880.0,
Iran,IRN,2019,76.1,0.92208225,86564208.0,
Kenya,KEN,2019,62.9,,50951452.0,
Malawi,MWI,2019,64.1,70.0606,18867340.0,
Mauritania,MRT,2019,65.7,,4383853.0,
Moldova,MDA,2019,70.9,0.02864514,3109496.0,
Mozambique,MOZ,2019,61.2,74.38077,30285602.0,
Namibia,NAM,2019,63.1,,2446648.0,
Nicaragua,NIC,2019,74.1,,6663919.0,
Niger,NER,2019,62.9,,23443400.0,
Nigeria,NGA,2019,52.9,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,66.8,,223293280.0,
Russia,RUS,2019,73.9,0.030001637,145742288.0,
Rwanda,RWA,2019,66.4,,12835029.0,
Senegal,SEN,2019,68.5,,16000783.0,
Slovakia,SVK,2019,77.7,0.11811627,5453932.0,
South Africa,ZAF,2019,66.2,,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,55.9,,10447677.0,
Sudan,SDN,2019,65.9,,43232092.0,
Tajikistan,TJK,2019,70.9,,9337008.0,
Tanzania,TZA,2019,67.0,,59872584.0,
Togo,TGO,2019,60.9,,8243093.0,
Uganda,UGA,2019,63.0,42.20773,42949076.0,
Yemen,YEM,2019,65.1,,31546694.0,
Zambia,ZMB,2019,62.8,,18380478.0,
Zimbabwe,ZWE,2019,61.3,39.75453,15354606.0,
