Entity,Code,Year,Sex ratio - Sex: none - Age: at birth - Variant: estimates
China,CHN,1950,106.1
China,CHN,1960,106.1
China,CHN,1970,106.4
China,CHN,1980,107.1
China,CHN,1990,111.8
China,CHN,2000,117.2
China,CHN,2010,117.1
China,CHN,2021,111.8
India,IND,1950,105.1
India,IND,1960,105.2
India,IND,1970,105.5
India,IND,1980,106.7
India,IND,1990,106.9
India,IND,2000,109.5
India,IND,2010,109.6
India,IND,2021,107.7
Kenya,KEN,1950,102.1
Kenya,KEN,1960,101.9
Kenya,KEN,1970,102.1
Kenya,KEN,1980,101.7
Kenya,KEN,1990,101.6
Kenya,KEN,2000,101.9
Kenya,KEN,2010,102.1
Kenya,KEN,2021,102.2
Russia,RUS,1950,105.4
Russia,RUS,1960,105.3
Russia,RUS,1970,104.9
Russia,RUS,1980,104.7
Russia,RUS,1990,105.6
Russia,RUS,2000,106.4
Russia,RUS,2010,105.8
Russia,RUS,2021,105.7
South Korea,KOR,1950,106.2
South Korea,KOR,1960,106.2
South Korea,KOR,1970,106.1
South Korea,KOR,1980,106.1
South Korea,KOR,1990,115.7
South Korea,KOR,2000,110.0
South Korea,KOR,2010,106.6
South Korea,KOR,2021,105.7
United States,USA,1950,105.4
United States,USA,1960,104.9
United States,USA,1970,105.4
United States,USA,1980,105.3
United States,USA,1990,104.9
United States,USA,2000,104.8
United States,USA,2010,104.8
United States,USA,2021,104.8
