Entity,Code,Year,Share of industry in GDP at current prices (Herrendorf et al. and GGDC-10 data),GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2011,,,,1082676070.0,
Africa,,2016,,,,1232111820.0,
Argentina,ARG,2011,33.1,20003.0,,41520736.0,
Argentina,ARG,2016,,18875.0,,43668236.0,
Asia,,2011,,,,4268479060.0,
Asia,,2016,,,,4502955714.0,
Belgium,BEL,2011,,38130.0,,10955742.0,
Belgium,BEL,2016,,38766.0,,11316837.0,
Bolivia,BOL,2011,36.0,5331.0,,10396249.0,
Bolivia,BOL,2016,,6355.0,,11263016.0,
Brazil,BRA,2011,26.7,14831.0,,198185296.0,
Brazil,BRA,2016,,13873.0,,206859584.0,
China,CHN,2011,46.4,10221.0,,1357095424.0,
China,CHN,2016,,12569.0,,1401889664.0,
Costa Rica,CRI,2011,22.5,12366.0,,4679927.0,
Costa Rica,CRI,2016,,14098.0,,4945205.0,
Egypt,EGY,2011,36.5,10737.0,,89200056.0,
Egypt,EGY,2016,,11351.0,,99784032.0,
Ethiopia,ETH,2011,9.9,1199.0,,91817936.0,
Ethiopia,ETH,2016,,1635.0,,105293232.0,
Europe,,2011,,,,738734474.0,
Europe,,2016,,,,744516175.0,
Germany,DEU,2011,,43189.0,,81423384.0,
Germany,DEU,2016,,44689.0,,82331432.0,
Ghana,GHA,2011,25.1,3283.0,,26205940.0,
Ghana,GHA,2016,,3878.0,,29554298.0,
Hong Kong,HKG,2011,5.6,44532.0,,7175370.0,
Hong Kong,HKG,2016,,48330.0,,7435925.0,
India,IND,2011,26.7,4768.0,,1257621248.0,
India,IND,2016,,6125.0,,1338636288.0,
Italy,ITA,2011,31.9,35151.0,,60025952.0,
Italy,ITA,2016,,33419.0,,60118628.0,
Japan,JPN,2011,28.6,34979.0,,128007256.0,
Japan,JPN,2016,,37465.0,,126993856.0,
Kenya,KEN,2011,16.4,2712.0,,42635148.0,
Kenya,KEN,2016,,3169.0,,47894668.0,
Malawi,MWI,2011,,1102.0,,15146095.0,
Malawi,MWI,2016,,1112.0,,17405624.0,
Malaysia,MYS,2011,39.1,19390.0,,29184140.0,
Malaysia,MYS,2016,,23053.0,,31526414.0,
Mexico,MEX,2011,37.6,15210.0,,114150480.0,
Mexico,MEX,2016,,16133.0,,121519224.0,
Morocco,MAR,2011,26.4,7226.0,,32903708.0,
Morocco,MAR,2016,,8039.0,,35107272.0,
Nigeria,NGA,2011,46.5,5136.0,,165463744.0,
Nigeria,NGA,2016,,5360.0,,188666928.0,
North America,,2011,,,,548684151.0,
North America,,2016,,,,576008328.0,
Peru,PER,2011,35.3,10044.0,,29477722.0,
Peru,PER,2016,,11776.0,,31132776.0,
Philippines,PHL,2011,29.2,5851.0,,96337912.0,
Philippines,PHL,2016,,7410.0,,104875272.0,
Senegal,SEN,2011,,2123.0,,12875878.0,
Senegal,SEN,2016,,2403.0,,14751356.0,
South Africa,ZAF,2011,29.4,11838.0,,52443320.0,
South Africa,ZAF,2016,,12139.0,,56422272.0,
South America,,2011,,,,397135158.0,
South America,,2016,,,,417101806.0,
South Korea,KOR,2011,43.3,32225.0,,49169880.0,
South Korea,KOR,2016,,36103.0,,51309984.0,
Sweden,SWE,2011,,42079.0,,9467384.0,
Sweden,SWE,2016,,44659.0,,9953322.0,
Tanzania,TZA,2011,24.2,2227.0,,46416032.0,
Tanzania,TZA,2016,,2660.0,,54401804.0,
Thailand,THA,2011,41.3,13318.0,,68712848.0,
Thailand,THA,2016,,15454.0,,70607032.0,
United Kingdom,GBR,2011,24.0,34971.0,,63286360.0,
United Kingdom,GBR,2016,,37334.0,,65655204.0,
United States,USA,2011,18.4,49675.0,,313876608.0,
United States,USA,2016,17.3,53015.0,,327210208.0,
Venezuela,VEN,2011,52.6,17746.0,,29096158.0,
Venezuela,VEN,2016,,15219.0,,30741464.0,
Zambia,ZMB,2011,,3205.0,,14265824.0,
Zambia,ZMB,2016,,3479.0,,16767758.0,
