Entity,Code,Year,"Expected years of schooling, male","Expected years of schooling, female",Population,Continent
Afghanistan,AFG,2021,12.67219,7.736391,40099460.0,
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Australia,AUS,2021,20.30188,21.81758,25921094.0,
Bangladesh,BGD,2021,11.90854,13.00008,169356240.0,
Barbados,BRB,2021,13.762791,17.698555,281204.0,
Belgium,BEL,2021,18.53882,20.70513,11611416.0,
Chad,TCD,2021,9.464518,6.6116443,17179744.0,
China,CHN,2021,13.697525,14.774705,1425893504.0,
Eswatini,SWZ,2021,14.241379,13.236865,1192273.0,
Ethiopia,ETH,2021,9.556188,9.824613,120283024.0,
Europe,,2021,,,746417727.0,
Germany,DEU,2021,17.01617,17.00416,83408560.0,
Greece,GRC,2021,20.00618,20.05644,10445368.0,
India,IND,2021,11.81324,11.94211,1407563904.0,
Ireland,IRL,2021,18.64552,19.2366,4986525.0,
Japan,JPN,2021,15.243816,15.198152,124612528.0,
Myanmar,MMR,2021,10.704483,11.113792,53798088.0,
Nauru,NRU,2021,10.446685,13.128091,12533.0,
Niger,NER,2021,7.638221,6.260139,25252722.0,
Nigeria,NGA,2021,10.799039,9.578901,213401328.0,
North America,,2021,,,597123384.0,
Norway,NOR,2021,17.52533,18.88679,5403021.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,9.17343,8.10253,231402112.0,
Senegal,SEN,2021,8.46251,9.47847,16876726.0,
South Africa,ZAF,2021,13.30751,13.9844,59392256.0,
South America,,2021,,,434254167.0,
South Sudan,SSD,2021,6.61495,4.45054,10748278.0,
Sudan,SDN,2021,8.144053,7.7451944,45657204.0,
Togo,TGO,2021,14.309002,12.192149,8644829.0,
Tunisia,TUN,2021,14.452519,16.459763,12262949.0,
Turkey,TUR,2021,18.81938,17.85655,84775408.0,
United States,USA,2021,15.64477,16.93509,336997632.0,
Vanuatu,VUT,2021,11.699925,11.379825,319146.0,
Yemen,YEM,2021,10.49584,7.65104,32981644.0,
