Entity,Code,Year,Cocoa beans | 00002633 || Food available for consumption | 0645pc || kilograms per year per capita
European Union (27) (FAO),,1961,0.92
European Union (27) (FAO),,1970,1.11
European Union (27) (FAO),,1980,1.44
European Union (27) (FAO),,1990,1.83
European Union (27) (FAO),,2000,2.15
Malaysia,MYS,1961,0.104386486
Malaysia,MYS,1970,0.16935317
Malaysia,MYS,1980,0.12561414
Malaysia,MYS,1990,0.29109222
Malaysia,MYS,2000,0.51036924
Malaysia,MYS,2010,0.009822504
Malaysia,MYS,2020,0.009748799
Rwanda,RWA,1961,0.0
Rwanda,RWA,1970,0.0
Rwanda,RWA,1980,0.0
Rwanda,RWA,1990,0.0
Rwanda,RWA,2000,0.0
Rwanda,RWA,2010,0.0
