Entity,Code,Year,"Deaths that are from all causes attributed to lead exposure per 100,000 people, in both sexes aged age-standardized"
Bahrain,BHR,1990,16.930178
Bahrain,BHR,1995,15.456694
Bahrain,BHR,2000,12.653904
Bahrain,BHR,2005,12.805461
Bahrain,BHR,2010,9.886699
Bahrain,BHR,2015,7.222403
Bahrain,BHR,2019,6.8957324
Slovakia,SVK,1990,7.772845
Slovakia,SVK,1995,7.402529
Slovakia,SVK,2000,7.282168
Slovakia,SVK,2005,7.0830255
Slovakia,SVK,2010,5.9444366
Slovakia,SVK,2015,5.1200843
Slovakia,SVK,2019,4.614934
Somalia,SOM,1990,30.270472
Somalia,SOM,1995,29.598246
Somalia,SOM,2000,28.795353
Somalia,SOM,2005,28.666945
Somalia,SOM,2010,28.432478
Somalia,SOM,2015,27.36604
Somalia,SOM,2019,26.28227
