Entity,Code,Year,Revenue from corporate income taxes (% GDP) (ICTD GRD (2019))
Norway,NOR,1980,5.5985472
Norway,NOR,1985,7.2142218
Norway,NOR,1990,3.6302777
Norway,NOR,1995,3.6897637
Norway,NOR,2000,8.7656261
Norway,NOR,2005,11.5311674
Norway,NOR,2010,9.8982165
Norway,NOR,2015,4.3914602
Peru,PER,1980,4.8431373
Peru,PER,1990,0.6241308
Peru,PER,1995,1.9521824
Peru,PER,2000,1.6928585
Peru,PER,2005,3.232342
Peru,PER,2010,4.5867528
Peru,PER,2015,3.8701598
Peru,PER,2017,3.4010065
South Africa,ZAF,1980,8.3972891
South Africa,ZAF,1985,6.0003342
South Africa,ZAF,2000,4.1430419
South Africa,ZAF,2005,6.3679576
South Africa,ZAF,2010,5.5231157
South Africa,ZAF,2015,5.3715377
South Africa,ZAF,2017,5.346419
South Korea,KOR,1980,1.8702149
South Korea,KOR,1985,1.8042265
South Korea,KOR,1990,2.405819
South Korea,KOR,1995,2.2269933
South Korea,KOR,2000,3.0339216
South Korea,KOR,2005,3.5919871
South Korea,KOR,2010,3.2250646
South Korea,KOR,2015,3.2958384
South Korea,KOR,2017,3.8314294
United Kingdom,GBR,1980,2.6092275
United Kingdom,GBR,1985,4.0677819
United Kingdom,GBR,1990,3.0070344
United Kingdom,GBR,1995,2.3831237
United Kingdom,GBR,2000,3.4939505
United Kingdom,GBR,2005,3.4230063
United Kingdom,GBR,2010,2.8714873
United Kingdom,GBR,2015,2.4246772
United Kingdom,GBR,2017,2.8151422
United States,USA,1980,2.7516598
United States,USA,1985,1.8572943
United States,USA,1990,1.9620233
United States,USA,1995,2.4554076
United States,USA,2000,2.2368238
United States,USA,2005,2.872161
United States,USA,2010,1.7812754
United States,USA,2015,2.1178038
United States,USA,2017,1.9093013
