Entity,Code,Year,Annual consumption-based CO₂ emissions
Africa (GCP),,1990,582724000.0
Africa (GCP),,1995,751732800.0
Africa (GCP),,2000,732651400.0
Africa (GCP),,2005,881782100.0
Africa (GCP),,2010,1096000800.0
Africa (GCP),,2015,1333181600.0
Africa (GCP),,2021,1389118100.0
Central America (GCP),,1990,95224710.0
Central America (GCP),,1995,108971970.0
Central America (GCP),,2000,194173100.0
Central America (GCP),,2005,153886300.0
Central America (GCP),,2010,215421220.0
Central America (GCP),,2015,176275680.0
Central America (GCP),,2021,182345520.0
Kazakhstan,KAZ,1990,279704480.0
Kazakhstan,KAZ,1995,129640390.0
Kazakhstan,KAZ,2000,103044200.0
Kazakhstan,KAZ,2005,142138380.0
Kazakhstan,KAZ,2010,138889650.0
Kazakhstan,KAZ,2015,195855250.0
Kazakhstan,KAZ,2021,164021420.0
Non-OECD (GCP),,1990,9262789000.0
Non-OECD (GCP),,1995,9337948000.0
Non-OECD (GCP),,2000,9821392000.0
Non-OECD (GCP),,2005,12684979000.0
Non-OECD (GCP),,2010,17191209000.0
Non-OECD (GCP),,2015,20208560000.0
Non-OECD (GCP),,2021,22455794000.0
Slovakia,SVK,1990,73113670.0
Slovakia,SVK,1995,46540710.0
Slovakia,SVK,2000,46249300.0
Slovakia,SVK,2005,42818080.0
Slovakia,SVK,2010,51182820.0
Slovakia,SVK,2015,40292228.0
Slovakia,SVK,2021,41237052.0
