Entity,Code,Year,Mean years of schooling,Expected years of schooling,Population (historical estimates),World Region according to the World Bank
Angola,AGO,2021,5.417391,12.1721,34503776.0,
Australia,AUS,2021,12.72682,21.05459,25921094.0,
Benin,BEN,2021,4.3047867,10.76668,12996901.0,
Brazil,BRA,2021,8.128814,15.59906,214326224.0,
Burkina Faso,BFA,2021,2.1149623,9.1421,22100690.0,
Chad,TCD,2021,2.573774,8.035914,17179744.0,
China,CHN,2021,7.6001186,14.2361145,1425893504.0,
Cuba,CUB,2021,12.497734,14.44306,11256373.0,
Egypt,EGY,2021,9.573026,13.7865,109262184.0,
Ethiopia,ETH,2021,3.2015207,9.651072,120283024.0,
France,FRA,2021,11.61006,15.81207,64531448.0,
Ghana,GHA,2021,8.329886,12.04778,32833036.0,
Greece,GRC,2021,11.40853,20.02879,10445368.0,
Hong Kong,HKG,2021,12.22621,17.27817,7494580.0,
Iceland,ISL,2021,13.76717,19.16306,370338.0,
India,IND,2021,6.6551094,11.87462,1407563904.0,
Iran,IRN,2021,10.636453,14.61525,87923432.0,
Italy,ITA,2021,10.74011,16.22679,59240336.0,
Jordan,JOR,2021,10.44668,10.64656,11148288.0,
Madagascar,MDG,2021,5.1204686,10.134992,28915652.0,
Malawi,MWI,2021,4.4896955,12.678986,19889742.0,
Mexico,MEX,2021,9.22105,14.86444,126705136.0,
Morocco,MAR,2021,5.916,14.15191,37076588.0,
Myanmar,MMR,2021,6.3768,10.909138,53798088.0,
Niger,NER,2021,2.1167173,6.957112,25252722.0,
Nigeria,NGA,2021,7.181074,10.1275835,213401328.0,
North America,,2021,,,597123384.0,
Norway,NOR,2021,13.00363,18.1852,5403021.0,
Oman,OMN,2021,11.65404,14.57349,4520474.0,
Pakistan,PAK,2021,4.53633,8.65835,231402112.0,
Portugal,PRT,2021,9.57594,16.87123,10290109.0,
Qatar,QAT,2021,9.996012,12.63722,2688239.0,
Russia,RUS,2021,12.774288,15.76637,145102752.0,
South Sudan,SSD,2021,5.72614,5.54251,10748278.0,
Spain,ESP,2021,10.6054,17.9169,47486932.0,
Sudan,SDN,2021,3.82,7.945188,45657204.0,
Tanzania,TZA,2021,6.3728986,9.22149,63588332.0,
Tunisia,TUN,2021,7.4315987,15.425383,12262949.0,
Turkey,TUR,2021,8.63314,18.33822,84775408.0,
Tuvalu,TUV,2021,10.573108,9.40443,11229.0,
United States,USA,2021,13.68343,16.28098,336997632.0,
Uzbekistan,UZB,2021,11.89559,12.47714,34081452.0,
Venezuela,VEN,2021,11.107277,12.81608,28199862.0,
