Entity,Code,Year,"Current number of cases of multidrug-resistant tuberculosis without extensive drug resistance, in both sexes aged all ages"
Angola,AGO,1990,144.23596
Angola,AGO,1995,973.83636
Angola,AGO,2000,1551.826
Angola,AGO,2005,2443.39
Angola,AGO,2010,2859.199
Angola,AGO,2015,3271.3481
Angola,AGO,2019,3405.683
Ireland,IRL,1990,2.896129
Ireland,IRL,1995,4.744422
Ireland,IRL,2000,4.918673
Ireland,IRL,2005,8.509549
Ireland,IRL,2010,7.5873303
Ireland,IRL,2015,5.4429936
Ireland,IRL,2019,4.699481
Israel,ISR,1990,11.463291
Israel,ISR,1995,32.171432
Israel,ISR,2000,43.870888
Israel,ISR,2005,31.630096
Israel,ISR,2010,24.849804
Israel,ISR,2015,24.37474
Israel,ISR,2019,24.118135
South Sudan,SSD,1990,24.6129
South Sudan,SSD,1995,427.4414
South Sudan,SSD,2000,934.61285
South Sudan,SSD,2005,1012.05
South Sudan,SSD,2010,1194.5372
South Sudan,SSD,2015,1490.8137
South Sudan,SSD,2019,1371.2821
Tokelau,TKL,1990,0.0018266198
Tokelau,TKL,1995,0.0076678623
Tokelau,TKL,2000,0.007965745
Tokelau,TKL,2005,0.0061103366
Tokelau,TKL,2010,0.0036500364
Tokelau,TKL,2015,0.0038611463
Tokelau,TKL,2019,0.0040396834
Uganda,UGA,1990,21.21857
Uganda,UGA,1995,407.11734
Uganda,UGA,2000,1844.3951
Uganda,UGA,2005,1963.0671
Uganda,UGA,2010,2021.0647
Uganda,UGA,2015,2943.414
Uganda,UGA,2019,3871.5469
