Entity,Code,Year,Plug-in hybrid as a share of cars sold,Battery-electric as a share of cars sold
China,CHN,2010,0.00236111,0.00763889
China,CHN,2011,0.002125,0.031875003
China,CHN,2012,0.00192495,0.07107505
China,CHN,2013,0.00440877,0.09059123
China,CHN,2014,0.13150685,0.26849315
China,CHN,2015,0.2890995,0.7109005
China,CHN,2016,0.34955752,1.1504425
China,CHN,2017,0.45517242,1.9448277
China,CHN,2018,1.2137614,3.6862385
China,CHN,2019,1.0849056,3.9150944
China,CHN,2020,1.1192983,4.6807017
China,CHN,2021,2.7076924,13.292308
China,CHN,2022,7.3728814,21.62712
European Union (27),,2010,7.67e-05,0.01192335
European Union (27),,2011,0.00338136,0.059618644
European Union (27),,2012,0.07186528,0.118134715
European Union (27),,2013,0.25066668,0.21933334
European Union (27),,2014,0.24,0.32
European Union (27),,2015,0.64705884,0.45294118
European Union (27),,2016,0.5398305,0.4401695
European Union (27),,2017,0.657647,0.64235294
European Union (27),,2018,0.87083334,1.0291667
European Union (27),,2019,1.0769231,1.9230769
European Union (27),,2020,4.857143,5.142857
European Union (27),,2021,8.948571,9.051429
European Union (27),,2022,9.333333,11.666667
Norway,NOR,2012,0.23507108,2.8649287
Norway,NOR,2013,0.2393204,5.56068
Norway,NOR,2014,1.1751152,13.824884
Norway,NOR,2015,5.1268435,16.873156
Norway,NOR,2016,13.533334,15.466666
Norway,NOR,2017,18.241936,20.758064
Norway,NOR,2018,18.123287,30.876713
Norway,NOR,2019,13.468354,42.531647
Norway,NOR,2020,20.518867,54.481133
Norway,NOR,2021,22.081081,63.91892
Norway,NOR,2022,8.481928,79.518074
United Kingdom,GBR,2010,0.00104598,0.0119540235
United Kingdom,GBR,2011,0.00036537,0.06263463
United Kingdom,GBR,2012,0.04906615,0.08093385
United Kingdom,GBR,2013,0.05054054,0.11945946
United Kingdom,GBR,2014,0.32275864,0.27724138
United Kingdom,GBR,2015,0.72068965,0.37931034
United Kingdom,GBR,2016,1.0410256,0.35897437
United Kingdom,GBR,2017,1.3571428,0.5428571
United Kingdom,GBR,2018,1.9290322,0.6709677
United Kingdom,GBR,2019,1.5786667,1.6213334
United Kingdom,GBR,2020,4.202247,6.797753
United Kingdom,GBR,2021,7.354839,11.645162
United Kingdom,GBR,2022,6.216216,16.783783
United States,USA,2011,0.0764045,0.09359551
United States,USA,2012,0.2961111,0.11388889
United States,USA,2013,0.37381443,0.36618558
United States,USA,2014,0.4148305,0.47516948
United States,USA,2015,0.29421052,0.48578945
United States,USA,2016,0.45625,0.54375
United States,USA,2017,0.5814433,0.61855674
United States,USA,2018,0.6666667,1.3333334
United States,USA,2019,0.54923075,1.5507692
United States,USA,2020,0.47891158,1.7210885
United States,USA,2021,1.1428572,3.357143
United States,USA,2022,1.4777777,6.222222
World,OWID_WRL,2010,0.00053765,0.010462351
World,OWID_WRL,2011,0.013125,0.056875
World,OWID_WRL,2012,0.08135593,0.07864407
World,OWID_WRL,2013,0.12223881,0.1477612
World,OWID_WRL,2014,0.16939394,0.26060605
World,OWID_WRL,2015,0.28,0.42
World,OWID_WRL,2016,0.34413332,0.54586667
World,OWID_WRL,2017,0.49830508,0.9016949
World,OWID_WRL,2018,0.72926825,1.5707316
World,OWID_WRL,2019,0.72499996,1.8749999
World,OWID_WRL,2020,1.3717171,2.8282826
World,OWID_WRL,2021,2.5430768,6.156923
World,OWID_WRL,2022,3.9803922,10.019608
