Entity,Code,Year,Terrorist attacks
Central America & Caribbean,,1970,7
Central America & Caribbean,,1980,1070
Central America & Caribbean,,1990,316
Central America & Caribbean,,2000,14
Central America & Caribbean,,2010,1
Central America & Caribbean,,2021,2
El Salvador,SLV,1970,0
El Salvador,SLV,1980,710
El Salvador,SLV,1990,184
El Salvador,SLV,2000,0
El Salvador,SLV,2010,0
El Salvador,SLV,2021,1
Lebanon,LBN,1970,1
Lebanon,LBN,1980,86
Lebanon,LBN,1990,84
Lebanon,LBN,2000,12
Lebanon,LBN,2010,5
Lebanon,LBN,2021,1
Somalia,SOM,1970,0
Somalia,SOM,1980,1
Somalia,SOM,1990,12
Somalia,SOM,2000,9
Somalia,SOM,2010,130
Somalia,SOM,2021,125
