Entity,Code,Year,General government final consumption expenditure (constant 2015 US$),GDP (constant 2015 US$),Continent
Albania,ALB,2015,1265151400.0,11386850000.0,Europe
Albania,ALB,2021,1554502400.0,13582024000.0,
Algeria,DZA,2015,35785708000.0,165979280000.0,Africa
Algeria,DZA,2021,39195630000.0,174201320000.0,
Angola,AGO,2015,14332601000.0,87219300000.0,Africa
Angola,AGO,2021,10692403000.0,79346280000.0,
Argentina,ARG,2015,107639990000.0,594749300000.0,South America
Argentina,ARG,2021,106030570000.0,568142600000.0,
Australia,AUS,2015,257946580000.0,1350615700000.0,Oceania
Australia,AUS,2021,351434050000.0,1524362400000.0,
Bahrain,BHR,2015,5491383000.0,31050637000.0,Asia
Bahrain,BHR,2021,,33998540000.0,
Bangladesh,BGD,2015,10542520000.0,195078680000.0,Asia
Bangladesh,BGD,2021,15932228000.0,285269500000.0,
Belize,BLZ,2015,377000000.0,2210500000.0,North America
Belize,BLZ,2021,371418560.0,2293518800.0,
Bermuda,BMU,2015,832027000.0,6654541000.0,North America
Bermuda,BMU,2021,766818100.0,6718028300.0,
Bosnia and Herzegovina,BIH,2015,3566228000.0,16211542000.0,Europe
Bosnia and Herzegovina,BIH,2021,3850729000.0,19175766000.0,
Burundi,BDI,2015,695991600.0,3104003600.0,Africa
Burundi,BDI,2021,1099755900.0,3276109800.0,
Central African Republic,CAF,2015,250588750.0,1695825700.0,Africa
Central African Republic,CAF,2021,181149380.0,2022834700.0,
Chad,TCD,2015,563407300.0,10950392000.0,Africa
Chad,TCD,2021,475495780.0,10233349000.0,
Colombia,COL,2015,43469430000.0,293481740000.0,South America
Colombia,COL,2021,56848257000.0,330638330000.0,
Cuba,CUB,2015,28062000000.0,87133000000.0,North America
Cuba,CUB,2021,31137128000.0,82070970000.0,
Democratic Republic of Congo,COD,2015,3433901300.0,37917704000.0,Africa
Democratic Republic of Congo,COD,2021,2415997700.0,48065880000.0,
Djibouti,DJI,2015,482723550.0,2424391700.0,Africa
Djibouti,DJI,2021,,3212645600.0,
Equatorial Guinea,GNQ,2015,2872264000.0,13185497000.0,Africa
Equatorial Guinea,GNQ,2021,2560327400.0,9534008000.0,
Ethiopia,ETH,2015,5821946000.0,64589337000.0,Africa
Ethiopia,ETH,2021,7216626700.0,100431266000.0,
France,FRA,2015,580719000000.0,2439188600000.0,Europe
France,FRA,2021,621091200000.0,2577596000000.0,
Japan,JPN,2015,871995150000.0,4444930400000.0,Asia
Japan,JPN,2021,953493550000.0,4435431000000.0,
Kazakhstan,KAZ,2015,21449402000.0,184388440000.0,Asia
Kazakhstan,KAZ,2021,24796883000.0,214679960000.0,
Kiribati,KIR,2015,107095030.0,170291040.0,Oceania
Kiribati,KIR,2021,,178690720.0,
Lebanon,LBN,2015,6257017000.0,49929340000.0,Asia
Lebanon,LBN,2021,939767000.0,34090267000.0,
Netherlands,NLD,2015,191228990000.0,765572740000.0,Europe
Netherlands,NLD,2021,218589230000.0,846872840000.0,
Oman,OMN,2015,19392977000.0,78710790000.0,Asia
Oman,OMN,2021,16105788000.0,82728070000.0,
Pakistan,PAK,2015,29686864000.0,270556140000.0,Asia
Pakistan,PAK,2021,38508212000.0,341055470000.0,
Samoa,WSM,2015,125225864.0,824160000.0,Oceania
Samoa,WSM,2021,142284770.0,843469440.0,
Tonga,TON,2015,93154240.0,437006240.0,Oceania
Tonga,TON,2021,142158930.0,475116320.0,
United States,USA,2015,2608983000000.0,18206020000000.0,North America
United States,USA,2021,2876609000000.0,20529460000000.0,
