Entity,Code,Year,Inbound arrivals (tourists)
Chile,CHL,1995,1540000.0
Chile,CHL,2000,1742000.0
Chile,CHL,2005,2027000.0
Chile,CHL,2010,2801000.0
Chile,CHL,2015,4478000.0
Chile,CHL,2021,190000.0
Nepal,NPL,1995,363000.0
Nepal,NPL,2000,464000.0
Nepal,NPL,2005,375000.0
Nepal,NPL,2010,603000.0
Nepal,NPL,2015,539000.0
Nepal,NPL,2021,151000.0
Tunisia,TUN,1995,4120000.0
Tunisia,TUN,2000,5058000.0
Tunisia,TUN,2005,6378000.0
Tunisia,TUN,2010,7828000.0
Tunisia,TUN,2015,5359000.0
Tunisia,TUN,2021,2475000.0
