Entity,Code,Year,Inbound tourism purpose (personal)
Grenada,GRD,1995,98000.0
Grenada,GRD,2000,71000.0
Grenada,GRD,2005,79000.0
Grenada,GRD,2010,89000.0
Grenada,GRD,2015,121100.0
Grenada,GRD,2021,39100.0
Haiti,HTI,1995,119000.0
Haiti,HTI,2005,90000.0
Haiti,HTI,2010,211000.0
Haiti,HTI,2015,462800.0
Haiti,HTI,2021,139100.0
Libya,LBY,1995,866000.0
Libya,LBY,2000,124000.0
Malaysia,MYS,1995,6438000.0
Malaysia,MYS,2000,8554000.0
Malaysia,MYS,2005,12361000.0
Turkmenistan,TKM,1995,202000.0
Turkmenistan,TKM,2000,3400.0
Turkmenistan,TKM,2005,10300.0
