Entity,Code,Year,"17.16.1 - Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Recipient (1 = YES; 0 = NO) - SG_PLN_MSTKSDG_R","17.16.1 - Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Provider (1 = YES; 0 = NO) - SG_PLN_MSTKSDG_P"
Central and Southern Asia (UN),,2018,3.0,
Eastern and South-Eastern Asia (UN),,2018,3.0,3.0
Europe (UN),,2018,2.0,12.0
Latin America and the Caribbean (UN),,2018,3.0,1.0
Least Developed Countries (LDCs),,2018,20.0,
Northern Africa (UN),,2018,2.0,
Northern America (UN),,2018,,1.0
Oceania (UN),,2018,5.0,1.0
Small Island Developing States (SIDS),,2018,10.0,
Sub-Saharan Africa (UN),,2018,17.0,
