Entity,Code,Year,Prevalence of undernourishment (% of population)
East Asia and Pacific (WB),,2001,12.232255
East Asia and Pacific (WB),,2005,9.6182995
East Asia and Pacific (WB),,2010,5.489517
East Asia and Pacific (WB),,2015,4.406318
East Asia and Pacific (WB),,2020,4.0447993
Europe and Central Asia (WB),,2001,3.7546644
Europe and Central Asia (WB),,2005,3.1419594
Europe and Central Asia (WB),,2010,2.7121458
Europe and Central Asia (WB),,2015,2.6049094
Europe and Central Asia (WB),,2020,2.5896142
Latin America and Caribbean (WB),,2001,10.801488
Latin America and Caribbean (WB),,2005,9.327147
Latin America and Caribbean (WB),,2010,6.946413
Latin America and Caribbean (WB),,2015,6.0254784
Latin America and Caribbean (WB),,2020,7.791291
Middle East and North Africa (WB),,2001,8.40941
Middle East and North Africa (WB),,2005,8.362563
Middle East and North Africa (WB),,2010,7.546345
Middle East and North Africa (WB),,2015,8.290976
Middle East and North Africa (WB),,2020,8.563551
North America (WB),,2001,2.5
North America (WB),,2005,2.5
North America (WB),,2010,2.5
North America (WB),,2015,2.5
North America (WB),,2020,2.5
South Asia (WB),,2001,18.940445
South Asia (WB),,2005,20.521551
South Asia (WB),,2010,15.693671
South Asia (WB),,2015,14.133413
South Asia (WB),,2020,15.897266
Sub-Saharan Africa (WB),,2001,25.9322
Sub-Saharan Africa (WB),,2005,22.891003
Sub-Saharan Africa (WB),,2010,18.515284
Sub-Saharan Africa (WB),,2015,17.312449
Sub-Saharan Africa (WB),,2020,20.901157
World,OWID_WRL,2001,13.1
World,OWID_WRL,2005,12.3
World,OWID_WRL,2010,8.6
World,OWID_WRL,2015,8.0
World,OWID_WRL,2020,9.3
