Entity,Code,Year,Land use: Grazingland
Africa,,1600,199165760.0
Africa,,1700,219994370.0
Africa,,1750,235194690.0
Africa,,1800,249860210.0
Africa,,1850,286509220.0
Africa,,1900,378584130.0
Africa,,1950,674245200.0
Africa,,2000,884514940.0
Africa,,2023,857031800.0
Asia (excl. China and India),,1600,172620960.0
Asia (excl. China and India),,1700,176364670.0
Asia (excl. China and India),,1750,201773220.0
Asia (excl. China and India),,1800,242773300.0
Asia (excl. China and India),,1850,330621600.0
Asia (excl. China and India),,1900,414043200.0
Asia (excl. China and India),,1950,491468700.0
Asia (excl. China and India),,2000,657716300.0
Asia (excl. China and India),,2023,635115300.0
Brazil,BRA,1600,17204.875
Brazil,BRA,1700,52358.312
Brazil,BRA,1750,1675466.0
Brazil,BRA,1800,3693272.0
Brazil,BRA,1850,9773016.0
Brazil,BRA,1900,21043722.0
Brazil,BRA,1950,60547588.0
Brazil,BRA,2000,192613440.0
Brazil,BRA,2023,199611490.0
China,CHN,1600,66816212.0
China,CHN,1700,67754270.0
China,CHN,1750,121526250.0
China,CHN,1800,199002420.0
China,CHN,1850,292490660.0
China,CHN,1900,219622430.0
China,CHN,1950,215030430.0
China,CHN,2000,392831070.0
China,CHN,2023,392832860.0
Europe (excl. Russia),,1600,82129176.0
Europe (excl. Russia),,1700,89755656.0
Europe (excl. Russia),,1750,78954600.0
Europe (excl. Russia),,1800,79774300.0
Europe (excl. Russia),,1850,88853810.0
Europe (excl. Russia),,1900,100988890.0
Europe (excl. Russia),,1950,105109416.0
Europe (excl. Russia),,2000,89654820.0
Europe (excl. Russia),,2023,79917890.0
India,IND,1600,2322478.2
India,IND,1700,2838584.5
India,IND,1750,3153982.8
India,IND,1800,3469380.8
India,IND,1850,3991222.0
India,IND,1900,4894408.0
India,IND,1950,6648683.5
India,IND,2000,10845041.0
India,IND,2023,10114845.0
North America,,1600,8023461.5
North America,,1700,18960862.0
North America,,1750,27385818.0
North America,,1800,41944240.0
North America,,1850,60990170.0
North America,,1900,187146740.0
North America,,1950,339861540.0
North America,,2000,352094560.0
North America,,2023,353006340.0
Oceania,,1600,0.0
Oceania,,1700,0.0
Oceania,,1750,0.0
Oceania,,1800,392577.72
Oceania,,1850,11684888.0
Oceania,,1900,98907920.0
Oceania,,1950,333886660.0
Oceania,,2000,395903200.0
Oceania,,2023,314476640.0
Russia,RUS,1600,5096557.0
Russia,RUS,1700,5776101.5
Russia,RUS,1750,10859816.0
Russia,RUS,1800,16514850.0
Russia,RUS,1850,25532140.0
Russia,RUS,1900,54425080.0
Russia,RUS,1950,60264220.0
Russia,RUS,2000,87599220.0
Russia,RUS,2023,93000000.0
South America (excl. Brazil),,1600,17830034.0
South America (excl. Brazil),,1700,17927034.0
South America (excl. Brazil),,1750,21041900.0
South America (excl. Brazil),,1800,23633112.0
South America (excl. Brazil),,1850,42165404.0
South America (excl. Brazil),,1900,92268580.0
South America (excl. Brazil),,1950,206034740.0
South America (excl. Brazil),,2000,256165140.0
South America (excl. Brazil),,2023,263831360.0
