Entity,Code,Year,Cereals - Excluding Beer | 00002905 || Food | 005142 || tonnes,Cereals - Excluding Beer | 00002905 || Feed | 005521 || tonnes,Cereals - Excluding Beer | 00002905 || Other uses | 005154 || tonnes,Cereals - Excluding Beer | 00002905 || Processing | 005131 || tonnes
Bhutan,BTN,2020,187000,30000.0,,15000.0
Lebanon,LBN,2020,882000,699000.0,15000.0,8000.0
Morocco,MAR,2020,9238000,4149000.0,1099000.0,15000.0
Nigeria,NGA,2020,28429000,4187000.0,58000.0,955000.0
Oceania,,2020,4017000,8785000.0,996000.0,828000.0
Slovakia,SVK,2020,568000,894000.0,79000.0,571000.0
South America,,2020,56802000,98238000.0,3509000.0,6732000.0
Sudan,SDN,2020,6852000,247000.0,221000.0,
Sweden,SWE,2020,1120000,2386000.0,23000.0,402000.0
Turkey,TUR,2020,17162000,13854000.0,1378000.0,879000.0
Venezuela,VEN,2020,3701000,1666000.0,2000.0,18000.0
