Entity,Code,Year,Number of patents in electric vehicle machine technology,Number of patents in electric vehicle storage,Number of patents in electric vehicle management,Number of patents in electric vehicle communication technology,Number of patents in electric vehicle charging stations
World,OWID_WRL,2000,916.0,1198.0,855.0,180.0,934.0
World,OWID_WRL,2001,975.0,1385.0,853.0,242.0,904.0
World,OWID_WRL,2002,1127.0,1554.0,979.0,228.0,1119.0
World,OWID_WRL,2003,1320.0,1742.0,1199.0,276.0,1473.0
World,OWID_WRL,2004,1104.0,1617.0,1009.0,208.0,1342.0
World,OWID_WRL,2005,1470.0,2068.0,1296.0,259.0,1387.0
World,OWID_WRL,2006,2176.0,3153.0,1806.0,384.0,2032.0
World,OWID_WRL,2007,2788.0,3581.0,2179.0,538.0,2452.0
World,OWID_WRL,2008,3358.0,4251.0,2246.0,860.0,2956.0
World,OWID_WRL,2009,3576.0,5231.0,2365.0,940.0,4058.0
World,OWID_WRL,2010,4916.0,7568.0,3204.0,1589.0,6109.0
World,OWID_WRL,2011,6416.0,10431.0,4597.0,2388.0,8107.0
World,OWID_WRL,2012,6849.0,10764.0,4764.0,2696.0,8540.0
World,OWID_WRL,2013,6103.0,10211.0,4271.0,2188.0,7386.0
World,OWID_WRL,2014,6149.0,10313.0,4357.0,2292.0,7598.0
World,OWID_WRL,2015,5772.0,10715.0,4146.0,2123.0,7392.0
World,OWID_WRL,2016,6690.0,13336.0,4574.0,2656.0,10733.0
World,OWID_WRL,2017,8813.0,17886.0,5335.0,3355.0,15706.0
World,OWID_WRL,2018,10943.0,19893.0,5490.0,4007.0,21475.0
World,OWID_WRL,2019,12217.0,23742.0,5478.0,4504.0,26013.0
World,OWID_WRL,2020,9039.0,20387.0,3778.0,3217.0,23282.0
World,OWID_WRL,2021,2776.0,6595.0,1131.0,1107.0,7752.0
